id,CT,HarNgn2
1669112688,+0*1*2*12*27/25/33,1.5831224328765754
1674100493,+0*1*12*19*27/16/30,1.566299875892764
1773921449,+1*2*19*27*31/25/33,1.5632038519861813
1669294086,+0*1*2*21*27/31/33,1.5512658157873362
1313527024,+14-2-3-10-10-13-17,1.5380136729076312
1312191414,+14+34-2-3-10-10-13,1.5380136729076312
1288182281,+14+17-2-3-10-13-21,1.5357481101468349
1313527304,+14-2-3-10-11-13-21,1.5357481101468349
1313530118,+14-2-3-11-13-15-31,1.535742561990237
1313530149,+14-2-3-11-13-17-25,1.535742561990237
1312191747,+14+34-2-3-11-13-31,1.535742561990237
1311689804,+14+33-2-3-11-13-30,1.535742561990237
1308038070,+14+28-2-3-13-24-25,1.535742561990237
1312192235,+14+34-2-3-13-17-24,1.535742561990237
1313527935,+14-2-3-10-13-23-24,1.5337713334861511
1313527987,+14-2-3-10-13-28-31,1.5337713334861511
1138717477,+11+14-2-3-10-13-24,1.5337713334861511
1281553803,+14+15+34-2-3-10-13,1.5337713334861511
1281713536,+14+15-2-3-10-13-31,1.5337713334861511
1668034968,+0*1*1*2*21*27/33,1.5335453155926873
1313527966,+14-2-3-10-13-25-34,1.5267995751157826
1308893111,+14+29-1-2-3-13-24,1.5257122632789812
1313510792,+14-2-3-5-11-13-24,1.5199126841716664
576166419,+1*12/33+7*8/13,1.519529323747128
1301487324,+14+23+34-2-3-11-13,1.5193593302095554
1301647283,+14+23-2-3-11-13-25,1.5193593302095554
1697215579,+0*4*12*24*28/11/13,1.5185823095391509
1313510515,+14-2-3-5-10-13-23,1.5179818581020146
1310478683,+14+31-2-3-5-10-13,1.5179818581020146
1313527994,+14-2-3-10-13-29-32,1.5174342921074695
1669205228,+0*1*2*16*27/25/30,1.5163392089979078
1311121559,+14+32-2-3-10-13-25,1.5152289089497366
1313535463,+14-2-3-13-25-29-31,1.5148717874415365
1668801812,+0*1*2*3*13*27/33,1.5144593129456083
1298939212,+14+22+25-2-3-13-32,1.513580273024888
1311690404,+14+33-2-3-13-26-27,1.512673841100154
1312026415,+14+34+34-2-3-13-24,1.512673841100154
1313535628,+14-2-3-13-31-31-32,1.512673841100154
1313534619,+14-2-3-13-17-24-31,1.512673841100154
1313534626,+14-2-3-13-17-25-28,1.512673841100154
