id,CT,HarNgn2
261817835,+4*6-0*2-13*13,1.6889471860420082
2811427315,-3*14*14*33/1/2/2,1.6776146210524168
2811404193,-3*14*14*30/1/2/16,1.676070050683935
2454970884,+19*19*24*25/0/10/11,1.65454026340389
503823667,+0*2/33-14*18/1,1.643961597629963
558832913,+1*2/33+4*4/13,1.6437945596316337
813655851,+6*21/30+7*20/13,1.6427038572596615
1195228623,+24*31/21+29*34/5,1.6374933291512537
156089197,+1+1+7+8+9-13-14,1.633708098191448
538432282,+4+4+6+30-13-13-14,1.6329599603399243
848255822,+7*20/13+13*21/33,1.6326633025285469
1010528352,+12*33/14-12*21/24,1.6320731065875964
731285813,+4*20/19-3*9/11,1.6306638575066577
1992357165,+3*19*19*24/11/12/26,1.627849778400143
2221286447,+8*8*22*25*25/7/13,1.6264077510004384
645270498,+2*24/29+19*24/11,1.6252907969002597
1001208772,+12*24/11-13*14/11,1.6252907969002597
576161431,+1*12/33+2*7/13,1.6246816051140096
2369579343,+12*24*26*26*29/5/21,1.6227337562111688
1863102976,+2*3*29*30*33/5/21,1.6227337562111688
2446582501,+18*18*24*24/10/11/22,1.6214314166532566
2429002944,+16*19*24*24/10/11/22,1.6214314166532566
2452829557,+18*25*30*33*33/14/21,1.6211136595898623
1674083471,+0*1*12*18*28/16/30,1.6202965432282797
3298372386,-21*24*25*29/3/11/32,1.6202599904867212
975767376,+11*24/14-11*11/4,1.6194530406161989
1941829501,+3*4*24*24/10/11/14,1.6192996675898097
576046122,+1*12/30+7*8/13,1.6191836516972202
719109949,+4*12/3-9*19/11,1.6185137600649335
576163545,+1*12/33+4*8/13,1.6183736507507056
2812691295,-3*14*20*33/1/2/12,1.6176969710096822
575882706,+1*12/26+4*4/13,1.6167906018336755
616667630,+2*6/14-3*6/1,1.6165653645593023
2809892917,-3*13*19*20*32/17/21,1.6163682352925488
1568371160,-3*33*33*34/1/30,1.6160119544392617
1953231723,+3*6*18*24/10/11/14,1.615667919634168
2454951492,+19*19*24*24*26/11/22,1.614828539687453
3285802655,-19*21*24*29/11/20/32,1.614245246194696
604675805,+1*31/33+4*9/2,1.6127758860684107
1774339945,+1*2*22*25/3/14/30,1.6125711420614783
1772100336,+1*2*12*18/3/19/33,1.6125711420614783
641084176,+4-0-5-10-21-28-34,1.611829677210116
210467118,+1+7+8+31-2-13-13,1.61120112714899
3220442378,-14*14*14*30/1/2/25,1.610100049219331
1992357208,+3*19*19*24/11/14/30,1.609446005263553
2520853164,-0*3*20*33*34/1/16,1.6090601784438847
2013943090,+4*6*7*14*33/13/21,1.6089745060903151
717917914,+4*11/14-3*9/13,1.6087582788362464
3260590653,-16*22*24*29/11/12/32,1.6087440569739688
1919686694,+2*18*24*29/5/6/21,1.6077769435016926
1919160734,+2*18*20*26*29/5/21,1.6077769435016926
1855060754,+2*2*24*29/5/14/21,1.6077769435016926
1905962916,+2*12*17*24/27/29/33,1.6075435940099407
804200319,+6*14/30+19*24/11,1.6073722100362042
2169698342,+6*24*24*25*33/10/11,1.6071862195607736
2479473475,+24*26*26*29*31/21/27,1.6066334465457368
1772061509,+1*2*12*16/3/19/30,1.6059307673192462
2013947613,+4*6*7*14/13/21/34,1.6058751292321574
2812670265,-3*14*20*30/1/12/16,1.6055786306997764
2164374404,+6*18*24*24*30/10/11,1.6054741296712545
