id,CT,HarNgn2
2454970884,+19*19*24*25/0/10/11,1.659823679560078
884750354,+8*22/12-3*9/7,1.656644652188661
587996796,+4+10-5-13-25-26-27,1.653572464505971
1669205159,+0*1*2*16*27/19/30,1.6481645029603438
14114263,+0*1*2*27/30,1.6481645029603438
2454998202,+19*19*24*27/11/22/26,1.6466120963376498
1669279120,+0*1*2*20*28/25/30,1.6448964877605488
1669112318,+0*1*2*12*27/4/33,1.644147687988195
2230279996,+8*10*31*31/3/30/33,1.640278802525945
2427720691,+16*18*24*24/10/11/22,1.6402475397594074
1673950767,+0*1*12*12*27/31/33,1.6371361147827954
1687691741,+0*3*6*22*25/11/13,1.6364653111805136
2446588796,+18*18*24*25*30*33/11,1.6362451912275615
2429008766,+16*19*24*25*30*33/11,1.6362451912275615
2164994821,+6*19*19*24*30*30/11,1.6362451912275615
2424497501,+16*16*24*25*30*30/11,1.6362451912275615
2454951492,+19*19*24*24*26/11/22,1.6341640084060058
2449432844,+18*20*30*30*33/14/21,1.6339790133566623
2430524732,+16*20*30*30*30/14/21,1.6339790133566623
1699219175,+0*4*21*24*24/11/13,1.6335232263266104
884752236,+8*22/12-5*5/7,1.6333620121551404
645270498,+2*24/29+19*24/11,1.6332852007638148
505504058,+0*3/29+19*24/11,1.6308909900870874
587873541,+4+10-1-13-25-26-28,1.63006164756021
1745395998,+0*16*18*20*24/11/13,1.6285031155468628
1941829501,+3*4*24*24/10/11/14,1.6278380909164645
1746071283,+0*16*22*24*25/11/13,1.6275629260477302
2427754810,+16*18*24*27/11/22/26,1.627351165105119
1669261719,+0*1*2*19*27/20/33,1.6273394134247303
1710871629,+0*6*18*18*20/11/13,1.6264384960726674
2454950645,+19*19*24*24*25/11/30,1.6263610804481483
1543142162,+20*21*24*24/2/11,1.6255556532308737
1953231723,+3*6*18*24/10/11/14,1.6245342512689256
1699032477,+0*4*20*21*24/11/30,1.6245220448375155
851246430,+7*22/27-3*20/27,1.6239499924700629
1736118834,+0*12*19*20*24/11/13,1.6233255163528864
