id,CT,HarNgn2
1669112688,+0*1*2*12*27/25/33,1.6154228414698462
2691867117,-2*3*30*33/1/8/27,1.6120276455612663
1668038626,+0*1*1*2*25*27/33,1.6097437886434671
1673950767,+0*1*12*12*27/31/33,1.6093734346952615
1504751054,+3*3*6*20/2/21,1.600813426528636
1668816413,+0*1*2*3*27/14/30,1.5964849211070278
1759004930,+1*1*3*16*22*27/33,1.5964243420740405
1674100493,+0*1*12*19*27/16/30,1.59543981862525
1773921449,+1*2*19*27*31/25/33,1.5917698156669278
1486970564,+0*1*2*27/25/33,1.5915946597083706
2424726751,+16*16*26*29/11/13/33,1.587686078712711
1763545749,+1*1*12*20*27/25/30,1.585916271406136
1673949035,+0*1*12*12*25/16/33,1.5858983181355164
1773156670,+1*2*16*16*27/19/33,1.5857655308812098
1759046218,+1*1*3*18*22*27/30,1.5834325695574338
884750354,+8*22/12-3*9/7,1.583085469157771
1807324983,+1*8*8*9*9/7/25,1.5822891623202653
1755616026,+0*25*29*29*30*30/11,1.5820546148854249
2456287614,+19*20*26*26*29*29/11,1.580353946216395
2875304958,-4*13*27*32*33/9/20,1.579839458383334
1808165557,+1*8*9*29/7/13/30,1.5789218713146744
1150444375,+20*28/2-19*23/11,1.578644811543929
1669261719,+0*1*2*19*27/20/33,1.5782192446467789
328282255,+8*9-12*13-14*25,1.5781740790092649
1749017152,+0*18*20*27*29/11/28,1.5777562152317408
1669294086,+0*1*2*21*27/31/33,1.5776408165393
2460021030,+19*26*26*27*29/11/28,1.5757655109341686
1668117329,+0*1*1*4*18*27/30,1.5750580380381998
1674082822,+0*1*12*18*27/20/33,1.5742758106243508
1298939212,+14+22+25-2-3-13-32,1.5737878513745904
2449103218,+18*20*25*25*29*29/11,1.573496923560219
1697215579,+0*4*12*24*28/11/13,1.5733428851433977
1758319738,+1*1*2*16*27*27/25,1.573332097524834
1668391566,+0*1*1*12*22*27/33,1.5728222457846095
1669894102,+0*1*3*18*27/20/30,1.5727161680284434
1669209255,+0*1*2*16*34/14/33,1.5726857597552009
1658828491,+0*0*1*16*25*27/10,1.5724002126269547
1670008509,+0*1*3*26*27/30/30,1.5723469561686112
1668494479,+0*1*1*16*27/14/33,1.5710814282811496
1757902454,+1*1*2*3*19*27*33,1.570869923238129
1674038399,+0*1*12*16*21*27/33,1.5707198686440422
2018653367,+4*6*26*27*29/11/13,1.570244990167747
1668114964,+0*1*1*4*16*27/33,1.5699552182033865
1699219175,+0*4*21*24*24/11/13,1.5686591089372326
1669243983,+0*1*2*18*27/19/30,1.568230870301736
14114263,+0*1*2*27/30,1.568230870301736
1768020764,+1*2*3*26*27/14/20,1.5681218034752993
1487258553,+0*1*12*19*34/33,1.5681185487030564
867757906,+8*9/12-6*32/0,1.567871860176392
1668801812,+0*1*2*3*13*27/33,1.567412882093304
1772208178,+1*2*12*26*26*27/14,1.5672863328323816
14787084,+1*2*18*27/33,1.567284962510877
867760780,+8*9/12-10*13/0,1.567114314813724
328168900,+8*9-2*12-12*13,1.5670131796012263
2455114004,+19*19*25*29/11/13/26,1.5669214734094083
1668302790,+0*1*1*9*22*27/14,1.5666855072394943
1669958672,+0*1*3*22*27/14/26,1.56665522763231
1668300844,+0*1*1*9*20*28/33,1.56637806760933
569330828,+1*8/30-5*13/7,1.5663117706654828
2452944057,+18*26*26*29*29*33/11,1.5659980445030166
1767867583,+1*2*3*16*27/12/30,1.5655295076523814
693457410,+3*25/12-1*27/11,1.5655283851764734
867768518,+8*9/12-22*25/4,1.5646378499796785
1669205228,+0*1*2*16*27/25/30,1.5640064279291006
2431974055,+16*22*25*29/11/13/26,1.5638094413287078
