CT,GeoMax,HarMax,CtyMax,ProMax,Value,ValGeo,GeoLim,ValHar,HarLim,GeoRank,HarRank,Nguong1,GeoNgn1,HarNgn1,ProNgn1,CtyNgn1,Values_Ngn1,ValGeoNgn2,GeoNgn2,ValHarNgn2,HarNgn2,ProNgn2,CtyNgn2,Values_Ngn2,Nguong_mm3,MinGeo3,MinHar3,ProNgn_mm3,CtyNgn_mm3,Values_Ngn_mm3,ValGeoNgn3,GeoNgn3,ValHarNgn3,HarNgn3,ProNgn3,CtyNgn3,Values_Ngn3,Slope_avg,Slope_wgt_avg
+3*3*6*20/2/21,8.104762328803675e-24,0.0,HVX,1.720183486238532,36969.99608748011,57653.01516028099,1.0732444829873655,57653.01516028099,1.0722211327064604,0.2800211889536477,0.04046940536310162,665.8209191037266,1.2822616317531546,1.2058186037259069,1.769266712668405,HVX_PNJ_TMT_UDC_DAG,"[36969.99608748  1547.04812623  1215.90501081   899.94490559
   707.05097982]",309.8261804061302,1.7528183544014753,309.8261804061302,1.5608682452073084,2.3989100344340857,PNJ_DAG_KMR_HCD,[1547.04812623  707.05097982  402.88783674  336.99854472],65038.96533759589,1.06,1.06,1.06,,[],259.705822665144,1.360665306456889,115.84235807014618,1.2554209346116805,1.639510585685041,PNJ_DAG_KMR_C47_QCG_CVT_BFC,"[1547.04812623  707.05097982  402.88783674  201.10397386  152.95914495
  128.83945643  120.04842084]",0.9197150717775356,0.8596050675077573
+0*1*2*27/25/33,0.9444464982551046,0.8467948210733315,DXV,1.681818181818182,11.156853967413364,51.50078392547808,1.1755192448990521,51.50078392547808,1.132189686459922,0.35516285391525126,0.24432543386940145,56.161517632025976,1.1755192448990521,1.132189686459922,1.06,,[],0.7076137944931936,1.7754171470073044,0.47772222771897066,1.5599790612130986,2.1609274139322214,ADS_IDI,[1.05972927 0.94883702],317.64942525234676,1.06,1.06,1.06,,[],0.12641364638451116,1.39375960245641,0.12641364638451116,1.272941442770333,1.985207100591716,ADS,[1.05972927],1.3004087036930563,1.2086951249574738
+8*10*14*20*24/21,0.8927919257756665,0.7574379487173428,VTB,1.003875968992248,2.8680814101336924,31.893825024532802,1.0907757533970137,3120.3317047467167,1.0599999999999998,0.30091842247137635,0.18588414537169765,1.4304531517071888,1.209922797746099,1.0695812090402865,1.003875968992248,VTB,[2.86808141],0.8701853304821883,1.7342667395656417,0.8701853304821883,1.5559807735380315,1.06,,[],3120.3317047467167,1.06,1.06,1.06,,[],0.056302474021697926,1.310989981206288,0.10803407106198068,1.213280959334958,1.234576710530977,SBV_RDP_VAF_SHA,[0.85964636 0.29348828 0.24095252 0.22099775],1.045831854158935,0.7075108855222481
+0*1*2*27/30,0.9891611814674212,0.8759416676031668,DXV,1.681818181818182,2.6843890537198076,1.2294208487126004,1.1356261727450363,1.2294208487126004,1.0859598403791033,0.41943151796752687,0.3624212674006504,0.06361111266704908,1.176509953773205,1.1087183103340432,1.4538699239682062,DXV_LM8_MHC_PHC_PNC_VMD,[2.68438905 0.21834804 0.1671199  0.16611414 0.15869355 0.13030236],0.03738982173672752,1.7253381523695663,0.03738982173672752,1.5538108822546088,1.7833881082037035,MHC_ADS,[0.1671199  0.04349384],49.0732579061416,1.06,1.06,1.06,,[],0.005000701078163136,1.3639321539431333,0.009884877535308728,1.2370435127294186,1.9361962128791326,KHP_ADS_SMC,[0.05652494 0.04349384 0.01042898],1.1923569260744025,0.9824033447104374
+16*26*29*29/11/14,0.9669411321394236,0.9036899839961674,HAX,2.176744186046512,0.09398191030298693,0.7331660738131236,1.0762477765563823,84.06828803130618,1.0599999999999998,0.3923298203262445,0.23890808925775014,0.05990398489073493,1.2434208562351325,1.1765240775485606,1.7397234443746075,HAX_HT1,[0.09398191 0.08457019],0.036375356647485035,1.6660367092130701,0.036375356647485035,1.5475852897402236,1.302702702702703,HT1,[0.08457019],84.06828803130618,1.06,1.06,1.06,,[],0.02321860342774678,1.287221234462225,0.02321860342774678,1.2528955386078016,1.06,,[],1.0684597696074511,0.8560190343987695
+19*24/18-9*10/11,8.314088453712133e-24,0.0,MWG,1.52271034996277,0.18933406511107695,1.5339306931548622,1.06,1.5339306931548622,1.0599999999999998,0.337082256433524,0.04362057484174076,0.12342956402317805,1.3015039569923432,1.259044338773691,1.515730387174562,MWG_IBC_HAX,[0.18933407 0.15276592 0.13641934],0.12192820340702817,1.6780670497216792,0.1347146734269591,1.5473873770180204,1.515730387174562,MWG_IBC_HAX,[0.18933407 0.15276592 0.13641934],0.12342956402317805,1.07834925370507,1.0745639713216053,1.515730387174562,MWG_IBC_HAX,[0.18933407 0.15276592 0.13641934],0.11050573921200287,1.5214152096761249,0.11050573921200287,1.3998901715909566,1.8497272680046413,MWG_HAX,[0.18933407 0.13641934],0.9956119052036205,0.8845632398543529
+26*27/21-28*28/17,1.0501159241531697,0.9084444688759594,DIG,3.711724137931034,0.7248995702823743,10.244114724320339,1.160105201177233,10.244114724320339,1.1292575426244622,0.45400948883766185,0.30895595258975506,10.599932541212223,1.1888742504409742,1.1292575426244622,1.06,,[],0.3459760278335239,1.6948378210942607,0.3459760278335239,1.545259205599237,1.1468861806797854,IJC_TDC,[0.6367216  0.48689083],43.06547981652971,1.06,1.06,1.06,,[],0.20087538498519392,1.270507996908472,0.20087538498519392,1.212771299010596,1.1468861806797854,IJC_TDC,[0.6367216  0.48689083],1.3234494310002023,1.3961879523553313
+8*22/12-3*9/7,1.2169149917494868,0.9514249654192198,DLG,3.111587982832618,0.06099307874578333,0.0031194028338120375,1.3685630173325083,0.09412963939592807,1.1459108996193081,0.44242376300164404,0.3112729446406823,0.03208529889246754,1.4807521737657574,1.2869132838589699,2.3691183427623876,DLG_HDG_TNI,[0.06099308 0.05894967 0.03818567],0.013003011431425845,1.753619857820465,0.013003011431425845,1.5439622395493289,2.360747551787826,DLG_HAR,[0.06099308 0.03181491],0.44652518142662745,1.0869231012427187,1.06,1.06,,[],-0.0029903754916888493,1.254852278282159,0.029085672929560064,1.1827775776350977,1.609907120743034,HAR,[0.03181491],1.5541408448240412,1.3516775238715972
+1*1/19+27*27/11,0.9196015991481196,0.7422161630135229,CIG,1.845403899721449,22.95165005528646,43.94262321717161,1.114029546013805,43.94262321717161,1.0877764314042402,0.3135789584699263,0.17038162468578166,2.108653797803882,1.2315090547764136,1.1676307253925637,1.3806746537154837,CIG_GVR_FIT_IJC,[22.95165006  3.45491079  2.45334155  2.20338079],0.6506328808611225,1.67480525698406,0.6506328808611225,1.5392833466033828,1.3806746537154837,CIG_GVR_FIT_IJC,[22.95165006  3.45491079  2.45334155  2.20338079],480.9038889785911,1.06,1.06,1.06,,[],0.0019755519305470317,1.2384648417443525,0.7849402853819968,1.1559112519148576,1.4155919811695614,CIG_FIT_IJC,[22.95165006  2.45334155  2.20338079],1.1948453191996038,1.2981799891666472
+1*2*26*27*30/33,1.1335761962491715,0.9700807537939009,LM8,1.432432432432432,0.07469179995214674,0.017213533350677556,1.2680140899890981,0.017213533350677556,1.1282304275577657,0.4864467070030368,0.4215787788701001,0.003562403609772406,1.3312642313768734,1.2301620020721629,1.3574375902620175,LM8_ITD,[0.0746918  0.00378493],0.0014169988028034288,1.7142449613503563,0.0014169988028034288,1.5378370769355185,1.655735787700318,ITD_PHC_KHP,[0.00378493 0.00249956 0.00248014],0.25645207693964317,1.06,1.06,1.06,,[],0.0001708874380084682,1.2887848315119577,0.0008728223764398495,1.1487163789478614,1.7381036159231673,ITD_PHC_KHP_ADS,[0.00378493 0.00249956 0.00248014 0.00111436],2.1980001427341085,2.861920807857607
+1*4*8*9/7/21,0.9896379409425278,0.9148160045289006,HU1,1.377450980392157,22.163637362362252,0.25730849334677797,1.131781737673617,0.25730849334677797,1.1013567645493934,0.48053732802981575,0.44845638491266054,0.06536465743185388,1.241428339657649,1.1628723296069614,1.726580630937247,HU1_PAN_SJS_TSC_KDC_CII_SMC_MSN_IDI_GEX_CTD_VNE,"[22.16363736  9.06673106  0.69397029  0.56223278  0.38296202  0.28876383
  0.17812903  0.17322787  0.1553483   0.14930449  0.12678936  0.11494211]",0.05961083483864298,1.6763499955948689,0.05961083483864298,1.5351593187060295,1.7150985524108537,PAN_SJS_TSC_KDC_CII_SMC_IDI_GEX_CTD,"[9.06673106 0.69397029 0.56223278 0.38296202 0.28876383 0.17812903
 0.1553483  0.14930449 0.12678936]",626.5068197016855,1.06,1.06,1.06,,[],0.06926696469077603,1.3603011509980696,0.06926696469077603,1.2753978437256912,1.2236589746753872,PAN_KDC_SMC,[9.06673106 0.38296202 0.17812903],1.096396284297024,1.0780997249773017
+2*24/29+19*24/11,7.2656686775371e-24,0.0,ASP,2.148648648648649,861.1991597465332,3928.8322750326743,1.131814311324611,36227.058258275465,1.0999241022721882,0.21065687123567928,0.03999352172520115,140.39631072082696,1.2621635101271855,1.2017102558534074,1.6239533490220064,ASP_HT1_SHI_THI_CMG_DGW_IJC_PET_BWE,"[861.19915975 699.63980206 500.20035979 417.64598399 399.16539
 315.7500615  242.0502263  198.40795884 167.11296287]",118.30907312171382,1.6367172313801754,118.30907312171382,1.5331053688172678,1.6304800091397111,HT1_SHI_CMG_DGW_IJC_PET_BWE,"[699.63980206 500.20035979 399.16539    315.7500615  242.0502263
 198.40795884 167.11296287]",253201.85593286276,1.06,1.06,1.06,,[],48.608258591820885,1.3196062411202596,48.608258591820885,1.259268586235189,1.6304800091397111,HT1_SHI_CMG_DGW_IJC_PET_BWE,"[699.63980206 500.20035979 399.16539    315.7500615  242.0502263
 198.40795884 167.11296287]",1.173404230563618,1.867005821626569
+8*22/12-11*12/7,0.9330306704054322,0.8207276846280724,TNI,2.0703125,0.03818567143970303,0.23672423903570805,1.2367132404761512,0.23672423903570805,1.1985073132752833,0.3722488803018007,0.26718017805533717,0.03318509312317006,1.2887578505134178,1.2043144934152037,2.0703125,TNI,[0.03818567],0.028506451966502058,1.6945949278937753,0.028506451966502058,1.5329037938346886,1.06,,[],0.44213770252070617,1.06,1.06,1.06,,[],0.009767728364846644,1.2608890976790206,0.009767728364846644,1.1553550229203362,1.5575116021587945,HAR_VIP_VNE_CCL,[0.02729432 0.02085589 0.01931885 0.0118144 ],1.2167870552710878,1.3494408687444095
+20*28/2-16*23/11,0.9798397342065543,0.7404880455044012,NHH,0.4646153846153846,4.064114708285305,0.39163939194681985,1.1894193101229589,0.39163939194681985,1.1198454022096973,0.3969437849404568,0.1630971266419675,1.9296777198743316,1.1828781296643904,1.1228792210502616,1.0790727081138038,NHH_PSH_VSI,[4.06411471 3.71826429 2.51292199],0.03908526698501752,1.6645762710658603,0.03908526698501752,1.5328063206919924,2.3180922761889615,HBC_PET_DIG_KSB,[1.04309953 0.54222981 0.20058618 0.05134754],12.257653586518199,1.06,1.06,1.06,,[],0.03908526698501752,1.2612653865503631,0.03908526698501752,1.2032676755040794,2.582710433292599,HBC_PET_DIG,[1.04309953 0.54222981 0.20058618],1.391410050813557,1.2859117930900674
