id,CT,HarNgn2
1504751054,+3*3*6*20/2/21,1.5608682452073084
1486970564,+0*1*2*27/25/33,1.559979061213099
1525690679,+8*10*14*20*24/21,1.5559807735380315
14114263,+0*1*2*27/30,1.5538108822546088
1540928148,+16*26*29*29/11/14,1.5475852897402236
1133938784,+19*24/18-9*10/11,1.5473873770180209
1207057635,+26*27/21-28*28/17,1.545259205599237
884750354,+8*22/12-3*9/7,1.543962239549329
556456571,+1*1/19+27*27/11,1.5392833466033828
1494091529,+1*2*26*27*30/33,1.5378370769355187
1494752520,+1*4*8*9/7/21,1.5351593187060293
645270498,+2*24/29+19*24/11,1.533105368817268
884757721,+8*22/12-11*12/7,1.5329037938346888
1150442689,+20*28/2-16*23/11,1.5328063206919926
885308564,+8*22/30-3*6/1,1.5327682975528227
14787084,+1*2*18*27/33,1.5313105476827986
1486922061,+0*1*1*19*28*33,1.5309838500397843
1543671572,+21*24*24*27/11/13,1.5300557228861462
1540184849,+16*16*24*27*28/11,1.5283703636515322
868452836,+8*9/33-3*8/27,1.5257758710161686
1493945925,+1*2*14*19*27/30,1.5249077369836816
558740888,+1*2/30-13*25/27,1.5248426956555627
1491296787,+0*12*12*24/11/13,1.5237551813967862
1494705213,+1*4*6*17/25/30,1.5212784379743702
1487003393,+0*1*3*22*27/33,1.5211484237033708
505504058,+0*3/29+19*24/11,1.5210672883276335
1189381580,+24*24/14-14*23/11,1.5203315386860197
1493655669,+1*2*3*27*33/14,1.520123552436185
793517103,+6*7/14-3*9/25,1.5194185088300929
1193433876,+24*29/11-9*12/21,1.5191398047073728
1518607840,+6*7*9*16*34/12,1.519011490697603
731607948,+4*20/29+19*24/11,1.5189903974302892
1123221587,+18*28/29+19*24/11,1.5189903974302892
1133750607,+19*24/11+22*25/29,1.5189903974302892
1089227520,+16*27/29+19*24/11,1.5189903974302892
1493654687,+1*2*3*26*27/12,1.5188530575185593
371454176,+11*28-5*34-11*11,1.5187742855420878
804200319,+6*14/30+19*24/11,1.5186418423922343
1493913609,+1*2*12*27*31/33,1.5183374058625596
1487258553,+0*1*12*19*34/33,1.518292120926736
893508929,+8*29/27-12*33/1,1.517665170332409
1119138360,+18*24/11+18*27/29,1.5169685946850375
642400151,+2*22/29+16*24/11,1.5169685946850375
816696046,+6*24/4-0*8/7,1.5165992947249882
1497409534,+1*12*12*27*33/14,1.5165991830749814
1544540577,+24*29*33*33/11/14,1.514133189587779
1542909862,+19*25*29*29/11/27,1.512668496675056
569330828,+1*8/30-5*13/7,1.5125788827957654
800817627,+6*12/14+24*28/11,1.5121724841470867
1295592532,-2*5/7-3*33/8,1.512010359418622
1486918426,+0*1*1*16*27/33,1.5118930634545065
816709194,+6*24/4-14*21/7,1.511490452775922
1520129615,+6*12*16*24/11/13,1.5114423135843804
590900947,+1*22/7-3*19/27,1.5113768009669584
617404919,+2*6/33+19*24/11,1.5112076874342222
1504042807,+2*18*26*29/11/13,1.511155960516689
1540186715,+16*16*24*29/4/11,1.5106628101156632
1335822235,-3*33/1-23*34/27,1.5106397953356554
1334138025,-3*30/1-23*26/27,1.510213340438351
572855505,+1*10/33-10*10/22,1.510209938537758
1085924306,+16*24/11-14*30/11,1.510053776715624
562124620,+1*4/25+28*29/11,1.5098947776247171
1540900367,+16*25*29*30/11/31,1.509811188572215
1493987722,+1*2*16*27*30/31,1.5092986265245392
693457410,+3*25/12-1*27/11,1.509237793312142
503639287,+0*2/29+18*24/11,1.509008407738352
1487249257,+0*1*12*12*22/33,1.5086738247483449
1494029048,+1*2*19*26*27/16,1.5085957311580402
1537527878,+13*24*25*26*31/21,1.5081397806860388
1540840380,+16*24*24*33/10/11,1.5079469113754551
500116291,+0*1*2-2*5*13,1.507329722750132
1207047783,+26*27/21-9*34/17,1.5070028188240472
1488142098,+0*3*6*24/11/13,1.5064589468323537
956212940,+10*31/21-1*33/17,1.5064363740891216
587330264,+1*19/33+6*17/10,1.5062987140084412
1133767085,+19*24/11-14*26/11,1.5056635058394947
537333420,+0*22/19-3*9/7,1.5054085007380955
736416055,+4*24/10+10*27/11,1.505183454694631
1510861048,+4*6*24*27/11/13,1.5049233846810135
1489740244,+0*6*24*29/10/11,1.5047112286860451
1488480226,+0*3*26*29/11/13,1.504647689518232
1492533867,+0*20*20*29*29/11,1.504445798331833
1106133550,+17*27/14-5*5/11,1.5042425857521258
1534716653,+12*12*26*27*28/11,1.5039604216066966
1487266341,+0*1*12*27/25/30,1.5038990495964335
1503123225,+2*12*27*28*33/11,1.5031240485316368
730941872,+4*20/10+10*25/11,1.5015959755855663
869139635,+8*10/12-6*34/1,1.501230337911741
1541977738,+18*19*24*24/11/16,1.5009889916545744
1486970408,+0*1*2*27/14/31,1.50074986448034
263139335,+4*8-3*14-27*28,1.5006713408544947
816701727,+6*24/4-5*20/7,1.5003836517552267
1085922753,+16*24/11-12*26/11,1.5002126664434738
1119155401,+18*24/11-12*30/11,1.5002126664434738
2086918,+18*24*24/11,1.500121814659661
891233583,+8*27/29-2*3/7,1.499764979932839
1521127804,+6*18*22*24/11/13,1.4997609071800353
1494040838,+1*2*20*26*27/25,1.499670224509587
1195415362,+24*31/30-3*27/6,1.4995390557145576
263139013,+4*8-3*14-8*29,1.499482749388804
1521313220,+6*20*22*29/11/13,1.4992159033621573
569327394,+1*8/30-2*2/9,1.4989823425337698
1137362551,+19*28/11-9*12/11,1.4988335537712218
1133749664,+19*24/11+20*24/10,1.4986088433889329
1542625711,+19*20*25*29/11/31,1.4984441409559328
569327428,+1*8/30-2*3/10,1.498272412084959
1232375716,+31*31/14-18*23/11,1.498119641769817
1524788990,+7*24*26*33/21/21,1.49781366453992
18186923,+8*10*24*24/21,1.4977498477131082
1952436,+6*19*24/11,1.4973467584442512
894793616,+8*30/33-3*8/1,1.4968469055638445
1542562660,+19*19*29*33/11/16,1.4966676200131368
1046788794,+14*24/10+18*24/11,1.4966408979045134
557546864,+1*2*33+2*4*28,1.4965626939868502
1542343146,+18*25*26*29*29/11,1.4963244557370912
1542534920,+19*19*24*33/11/22,1.4960970487384506
1540429538,+16*18*24*33/11/22,1.4960970487384506
1541982295,+18*19*24*30/11/22,1.4960970487384506
794943283,+6*8/12-11*14/7,1.495819940828652
1535741191,+12*19*26*29/11/13,1.4958086793499246
1125977294,+18*31/33+24*28/11,1.4957333100057586
1487255431,+0*1*12*16/18/33,1.4956859429114473
1487257437,+0*1*12*18*34/30,1.4951721798128426
568443508,+1*8/7-3*14/27,1.495164278956441
669400659,+3*9/2-3*27/24,1.4950369016615048
907168464,+9*14/33+19*24/11,1.495005171144831
904472016,+9*12/30+19*24/11,1.495005171144831
905744264,+9*13/29+16*27/11,1.4949423848524377
1492813728,+0*24*26*29/11/25,1.49492934299474
557552757,+1*2*33+20*33*33,1.4948796696860462
1506488621,+3*7*9*24/2/18,1.4948378689086883
14113021,+0*1*2*3*31,1.49473461974701
709763761,+4*6/3+24*29/11,1.4947339884116186
638774719,+2*20/10+18*24/11,1.494586269043822
801479569,+6*12/33+18*24/11,1.494474422702274
1540522135,+16*19*24*26/11/22,1.494340275603092
1535732123,+12*19*25*25/11/13,1.4941239527749757
1509017467,+3*18*24*25/11/29,1.493952629231532
1520912601,+6*16*24*33/11/30,1.4939371882953518
1487250127,+0*1*12*12/20/30,1.493839607015814
1541978270,+18*19*24*25*33/11,1.4937992376750222
1540520879,+16*19*24*25*30/11,1.4937992376750222
197059881,+1*8+4*4-3*6,1.4934796244533577
1220597685,+28*30/12-23*24/11,1.493374008927231
1518597384,+6*7*9*9*20/12,1.4931501621484156
528219299,+0*16/30+18*24/11,1.4931364698081937
1494051542,+1*2*21*26*27/14,1.4931035180589065
1542360289,+18*25*30*30*33/21,1.4928777286472188
816563219,+6*24/0-5*18/7,1.4928119615778208
713428352,+4*8/18-9*24/1,1.492791861606006
585985056,+1*19*27-10*18*34,1.4927437665486305
1492829530,+0*24*29*33/11/20,1.4924665654241789
1542226645,+18*22*29*30*31/11,1.4921820491895157
1542780225,+19*22*29*31*33/11,1.4921820491895157
956220637,+10*31/21-9*30/17,1.491859284520784
1542993770,+19*29*30*30*30/11,1.4917169169803994
1542440985,+18*29*30*30*33/11,1.4917169169803994
1520845555,+6*16*18*25/11/13,1.4916895873489562
1487266577,+0*1*12*28*33/20,1.491399090004505
1492484107,+0*19*24*25/11/13,1.4913111077289476
533050791,+0*19/30+19*24/11,1.4912754393052343
884464035,+8*22/2-13*28/1,1.49125818079657
1521557382,+6*24*24*27/11/14,1.4911915701869776
510867959,+0*6/26+19*24/11,1.4910786184782368
521670741,+0*12/33+19*24/11,1.4910786184782368
1543776269,+21*27*27*28*29/11,1.4910507981771646
1189298457,+24*24/11+29*30/34,1.4907405905782358
557550663,+1*2*33+10*24*33,1.490394725562901
1488401577,+0*3*18*24*33/11,1.4903909491026412
998982778,+12*22/10+18*24/11,1.490390803604596
545581731,+0*28/2-12*23/11,1.4903086817529598
832773307,+7*9*20-7*7*7,1.4901539050699055
884750175,+8*22/12-3*3/27,1.4900459136490674
14784600,+1*2*16*27/14,1.489953421224314
1522449588,+7*9*9*18*20/2,1.489919213299692
15104584,+1*12*27*30/31,1.4899040736992908
1494023570,+1*2*19*20*27/33,1.4898870605957475
795006241,+6*8/14-3*13/7,1.4898100494093385
851063783,+7*22/21+10*31/21,1.4897839315248211
1508803973,+3*16*28*28*33/11,1.4897673699622926
557549701,+1*2*33+8*9*17,1.489695603420924
557553105,+1*2*33+25*25*30,1.489695603420924
557560691,+1*2*33-22*27*29,1.489695603420924
557551864,+1*2*33+15*19*29,1.489695603420924
557555620,+1*2*33-3*30*32,1.489695603420924
557553361,+1*2*33-0*1*7,1.489695603420924
557556358,+1*2*33-5*13*30,1.489695603420924
557557230,+1*2*33-7*15*20,1.489695603420924
557559528,+1*2*33-14*29*29,1.489695603420924
557550004,+1*2*33+8*26*31,1.489695603420924
557549673,+1*2*33+8*8*15,1.489695603420924
557549060,+1*2*33+6*15*25,1.489695603420924
14784817,+1*2*16*33/19,1.489695603420924
557548201,+1*2*33+4*17*29,1.489695603420924
557548658,+1*2*33+5*17*21,1.489695603420924
1543315881,+20*24*26*29/2/11,1.4893878546079085
557552597,+1*2*33+19*26*28,1.4890841114822486
840840048,+7*14/29+19*24/11,1.48900866779683
1497411658,+1*12*12*30*30/33,1.4889994241661275
1541843188,+18*18*20*29/4/11,1.488732495870814
587241045,+1*19/30-19*20/22,1.4887324071559622
1543233895,+20*22*29*29*33/11,1.4886336947557726
1153279580,+20*31/14-9*23/11,1.4883884994193224
585692041,+1*18/30-16*20/22,1.4883376871460603
585987508,+1*19*27-24*24*25,1.488311559038842
1083351485,+16*21/29+18*24/11,1.4881608490971352
1543577384,+21*22*24*28/11/13,1.488058422875492
