id,CT,HarNgn2
1504751054,+3*3*6*20/2/21,1.600813426528636
1486970564,+0*1*2*27/25/33,1.5915946597083706
884750354,+8*22/12-3*9/7,1.583085469157771
1150444375,+20*28/2-19*23/11,1.578644811543929
328282255,+8*9-12*13-14*25,1.5781740790092649
14114263,+0*1*2*27/30,1.568230870301736
1487258553,+0*1*12*19*34/33,1.5681185487030564
867757906,+8*9/12-6*32/0,1.567871860176392
14787084,+1*2*18*27/33,1.567284962510877
867760780,+8*9/12-10*13/0,1.567114314813724
328168900,+8*9-2*12-12*13,1.5670131796012263
569330828,+1*8/30-5*13/7,1.5663117706654828
693457410,+3*25/12-1*27/11,1.5655283851764734
867768518,+8*9/12-22*25/4,1.5646378499796785
1486918426,+0*1*1*16*27/33,1.5636334023933125
1487003393,+0*1*3*22*27/33,1.5622407916390206
867759742,+8*9/12-8*32/21,1.5608848055580538
1486922061,+0*1*1*19*28*33,1.5593182809294064
120806542,+14+22+25-2-3-13,1.5578616136787564
122498461,+14-2-3-10-10-13,1.557817149334448
1231079907,+30*33/21-7*33/17,1.5566789550696252
122499448,+14-2-3-13-23-31,1.555154942338278
122253014,+14+33-2-3-13-30,1.555154942338278
122319053,+14+34-2-3-13-24,1.555154942338278
587330264,+1*19/33+6*17/10,1.5547182811495457
1487249257,+0*1*12*12*22/33,1.5536160389772498
569327428,+1*8/30-2*3/10,1.5520614013085618
884752236,+8*22/12-5*5/7,1.5519069939045185
1220597685,+28*30/12-23*24/11,1.55025232416414
793517103,+6*7/14-3*9/25,1.5496055569573597
1493913609,+1*2*12*27*31/33,1.5492128548821074
1543671572,+21*24*24*27/11/13,1.5490844306743083
121684755,+14+27-2-3-13-17,1.547902159176914
1494752520,+1*4*8*9/7/21,1.5467505354191873
1494091529,+1*2*26*27*30/33,1.545698747469427
1133938784,+19*24/18-9*10/11,1.5455982378813642
1487255069,+0*1*12*16*34/30,1.5452035371853123
1487255431,+0*1*12*16/18/33,1.5449699933685892
1493945925,+1*2*14*19*27/30,1.544849607224916
867749041,+8*9/12+25*32/29,1.5440779259237571
1537527878,+13*24*25*26*31/21,1.543988950747171
585984972,+1*19*27-10*14*24,1.5439388016684477
576166419,+1*12/33+7*8/13,1.540250843751004
645270498,+2*24/29+19*24/11,1.539673335499204
585985021,+1*19*27-10*16*34,1.5396552538737756
1189381580,+24*24/14-14*23/11,1.539560048956593
197079942,+1*8+4*22-3*6,1.539412092065712
1510861048,+4*6*24*27/11/13,1.5388479049850328
122499500,+14-2-3-13-29-32,1.538577640479354
867763674,+8*9/12-13*31/21,1.537349678939306
558740888,+1*2/30-13*25/27,1.536838017048241
569448749,+1*8/33-2*22/10,1.5362569424877903
585987508,+1*19*27-24*24*25,1.5361264964438983
1540520879,+16*19*24*25*30/11,1.5360563185741178
867739686,+8*9/12+9*29/30,1.535940152305366
853671192,+7*24/25-7*21/11,1.5359226677168232
1047090862,+14*24/21-18*25/7,1.5357722024475893
1540900367,+16*25*29*30/11/31,1.5350982885728122
569327394,+1*8/30-2*2/9,1.5349576143322512
1487266190,+0*1*12*27/14/33,1.5339124587795967
1503804789,+2*16*26*29/11/13,1.5337813319898927
1542920138,+19*25*33*33*33/21,1.533484520322786
569448410,+1*8/33-2*12/0,1.533456580405631
1491296787,+0*12*12*24/11/13,1.5334383972337704
1487250127,+0*1*12*12/20/30,1.5331081754544045
1486965167,+0*1*2*21/14/33,1.5329399671902784
656971374,+2*33/16+8*9/12,1.532774860528149
1521564985,+6*24*25*28*34/11,1.53270984529627
1488401577,+0*3*18*24*33/11,1.5327095457148376
1494023570,+1*2*19*20*27/33,1.5321043475271736
868452836,+8*9/33-3*8/27,1.531492544270025
1494705213,+1*4*6*17/25/30,1.5308971849820616
1497408508,+1*12*12*26*27/14,1.530425166611346
1487415825,+0*1*22*29*33/14,1.5302926528511285
14784600,+1*2*16*27/14,1.5302697823332134
893508929,+8*29/27-12*33/1,1.5300691339105692
1487266341,+0*1*12*27/25/30,1.5296572857351731
1543079932,+20*20*25*31*34/21,1.5287649487236576
853567262,+7*24/21-4*19/20,1.5287306360034296
197186647,+1*8+8*9-8*12,1.528621819899972
505504058,+0*3/29+19*24/11,1.5283931613975132
1540840380,+16*24*24*33/10/11,1.5282628448438391
800817627,+6*12/14+24*28/11,1.5282453060955696
1521313220,+6*20*22*29/11/13,1.5281756900940795
1168747858,+22*22/18-3*9/7,1.5281461952701694
1486970408,+0*1*2*27/14/31,1.5273734677916095
1542360289,+18*25*30*30*33/21,1.527147956287644
1542385440,+18*26*29*29/11/14,1.5270809115588202
556456571,+1*1/19+27*27/11,1.5267554809923842
562124620,+1*4/25+28*29/11,1.526454358843174
1133750607,+19*24/11+22*25/29,1.5264458203228155
1123221587,+18*28/29+19*24/11,1.5264458203228155
1089227520,+16*27/29+19*24/11,1.5264458203228155
998380949,+12*21/29+19*24/11,1.5264458203228155
710652818,+4*6/29+19*24/11,1.5264458203228155
263454543,+4*9+10*20-16*21,1.5261297674648266
587358005,+1*19/33-14*30/22,1.5260545149101794
1537298541,+13*20*25*26*33*33,1.52604872050575
1494404600,+1*3*12*20*27/30,1.525589347473981
1518607840,+6*7*9*16*34/12,1.5251622707971608
574811732,+1*12*27-9*9*22,1.5248012100295418
1486938506,+0*1*2*3*27/12,1.5246895919658805
891233583,+8*27/29-2*3/7,1.5246823709646922
585985053,+1*19*27-10*18*31,1.5245785598800676
1541944744,+18*19*20*29/11/27,1.5245504438632926
1119138360,+18*24/11+18*27/29,1.5245497890921345
642400151,+2*22/29+16*24/11,1.5245497890921345
574809547,+1*12*27-4*4*12,1.5242725811487283
49570196,+4+7+14-2-3-13,1.5239595824182768
1489687723,+0*6*19*24/11/13,1.52393722453328
879895344,+8*18/16-8*12/9,1.5238975719991252
1542625224,+19*20*25*29*29/11,1.5236902659346456
1295592532,-2*5/7-3*33/8,1.5236877549514054
1494017045,+1*2*18*27*30/31,1.5236251203254272
1538570540,+14*20*24*25*34/11,1.5235529450531529
795006241,+6*8/14-3*13/7,1.523396075467958
562314884,+1*4/30+8*9/12,1.5230664740769595
1494029048,+1*2*19*26*27/16,1.5229599627273285
1085924306,+16*24/11-14*30/11,1.5229551097797296
1540389978,+16*18*20*29/2/11,1.522228620031116
804200319,+6*14/30+19*24/11,1.5220951627663626
500116291,+0*1*2-2*5*13,1.5220713234139545
1541977738,+18*19*24*24/11/16,1.5218749763082204
1493088842,+1*1*3*19*27/33,1.5218611292180777
1494539257,+1*3*20*27*34/33,1.5213945886626696
1542533035,+19*19*24*30/11/22,1.5213690596706553
1540526783,+16*19*24*33/11/22,1.5213690596706553
1542295787,+18*24*24*30/10/11,1.5213140032955117
884747150,+8*22/12-0*11/7,1.5212836656454325
569328599,+1*8/30-3*6/25,1.5210491622597544
851063783,+7*22/21+10*31/21,1.5210137986404746
14744918,+1*1*18*27/30,1.5210086496157535
584433637,+1*18*27-3*10*22,1.5207529378000848
1498369832,+1*17*22*26*27/20,1.5204932831465223
1487010486,+0*1*3*30/33/33,1.5202312673671212
1497595002,+1*12*27*30*30/33,1.520229711868575
1047091721,+14*24/21-20*20/7,1.5197165578660068
101594171,+10+28-1-1-13-30,1.5195216589258662
1520221783,+6*12*24*26*31/2,1.5193990045154462
1542861106,+19*24*26*29/11/13,1.5193974770995715
1493655669,+1*2*3*27*33/14,1.5191486038034892
1207057404,+26*27/21-27*28/17,1.518890680376267
1492829535,+0*24*29*33/11/26,1.5188397168346872
1153286356,+20*31/14-19*23/11,1.5188057705023157
1540186715,+16*16*24*29/4/11,1.5187958879592685
1520129615,+6*12*16*24/11/13,1.5187729011632491
1487258308,+0*1*12*19*27/26,1.518740757213445
536181423,+0*21/30+8*9/12,1.5185798918154385
794943217,+6*8/12-11*12/7,1.518436688450034
1487257812,+0*1*12*18/19/30,1.5181261834547273
122496781,+14-2-3-5-13-28,1.5179166661981394
1541884787,+18*18*24*33/11/22,1.5177436652283214
1488480226,+0*3*26*29/11/13,1.5172911845007944
503639287,+0*2/29+18*24/11,1.517081504476391
545579351,+0*28/2-9*23/11,1.516869961653548
1493280401,+1*1*9*16*27/30,1.51667304179418
1540217228,+16*16*29*33/11/28,1.5166045320349384
1497513340,+1*12*18*27*34/33,1.5164988987360115
867764348,+8*9/12-14*31/0,1.5163700329085052
1487376771,+0*1*19*21*27/33,1.516366275930458
1133767085,+19*24/11-14*26/11,1.5161000357758354
1541979427,+18*19*24*26/11/22,1.5160647147015536
581292433,+1*16*27-10*22*22,1.5159961153089043
867743576,+8*9/12+14*32/20,1.515830830855604
1540426686,+16*18*24*29*31/11,1.5157069448240008
617404919,+2*6/33+19*24/11,1.5152398372867917
1510822887,+4*6*20*26*27/21,1.515195538700326
