CT,GeoMax,HarMax,CtyMax,ProMax,Value,ValGeo,GeoLim,ValHar,HarLim,GeoRank,HarRank,Nguong1,GeoNgn1,HarNgn1,ProNgn1,CtyNgn1,Values_Ngn1,ValGeoNgn2,GeoNgn2,ValHarNgn2,HarNgn2,ProNgn2,CtyNgn2,Values_Ngn2,Nguong_mm3,MinGeo3,MinHar3,ProNgn_mm3,CtyNgn_mm3,Values_Ngn_mm3,ValGeoNgn3,GeoNgn3,ValHarNgn3,HarNgn3,ProNgn3,CtyNgn3,Values_Ngn3,Slope_avg,Slope_wgt_avg
+9*20/2-13*26/33,0.8490013231876644,0.7173754728807626,DPR,1.416988416988417,3.923227991078996,2259.8165045221654,1.06,2259.8165045221654,1.0599999999999998,0.28927974930471945,0.16142882581362028,1.8010259831551083,1.1317489057960237,1.0802337742257244,1.475715382757717,DPR_ASP_HHS,[3.92322799 3.69680374 2.37712967],0.5533906333398992,1.2571359084924072,0.5533906333398992,1.1712486214118132,2.115514874141876,HHS,[2.37712967],2259.8165045221654,1.06,1.06,1.06,,[],0.5094546248482407,1.5734279129083688,0.5094546248482407,1.5174434529346497,2.115514874141876,HHS,[2.37712967],1.0368870478051175,0.7034606696386173
+0*20+6*9-6*12,5.750377881575494e-21,0.0,PNC,0.9615384615384616,1.9817783007714223,8.125868456683147,1.06,8.125868456683147,1.0599999999999998,0.2825809379036412,0.04193117412996879,0.22296529634737114,1.2216521431106733,1.1635044287491383,1.0516475131773377,PNC_DAH_PTC_PLX_ST8_TNT,[1.9817783  0.46320939 0.41371967 0.37328212 0.34963367 0.27465563],0.17247927782842917,1.5180583515372716,0.1251136212915966,1.3492125644041504,1.06,,[],8.125868456683147,1.06,1.06,1.06,,[],0.1251136212915966,1.6268187209087932,0.1251136212915966,1.501134412655302,1.06,,[],0.8320883012453729,0.6345235710858756
+9*20/2+12*31/2,1.0603413328277538,0.933886571627757,DPR,1.416988416988417,4.075249652737211,2.9633594942305383,1.1391573182997323,12.975548368397629,1.0848280227896179,0.4786065738871808,0.37955289306156526,12.975548368397629,1.1246884023130603,1.0848280227896179,1.06,,[],0.5557800646930028,1.2735323890641013,0.5557800646930028,1.1731823226739464,2.115514874141876,HHS,[2.40797016],12.975548368397629,1.06,1.06,1.06,,[],0.5557800646930028,1.5781302878143972,0.5557800646930028,1.4988825823218768,2.115514874141876,HHS,[2.40797016],1.2034114090885608,1.249957808237454
+2*6*9-2*6*12,6.277644467156611e-21,0.0,DAH,1.028235294117647,0.33990218797233496,47.12860053964855,1.06,47.12860053964855,1.0599999999999998,0.32713387872035443,0.04270133895220694,0.03732133958937222,1.2239545485052392,1.1130097985479193,1.1882461535196998,DAH_PTC_HSL_HAR_TSC_HAP_BTP,"[0.33990219 0.16245176 0.16163376 0.12289938 0.10324027 0.07498064
 0.04251758]",0.027474882812288375,1.4804110742080319,0.014849654252711862,1.2741533430738983,1.130012878348832,DAH_TSC_HAP_TEG_SAM,[0.33990219 0.10324027 0.07498064 0.02511459 0.0179022 ],47.12860053964855,1.06,1.06,1.06,,[],0.01906444654778374,1.6876659977901882,0.01906444654778374,1.4887777310268635,1.142811664438503,DAH_TSC_HAP_TEG,[0.33990219 0.10324027 0.07498064 0.02511459],1.0648445705412948,0.2696262217851914
+9*22+25*26-12*22,0.9722082388402246,0.7718547064123916,HAR,1.106217616580311,0.14872704742755904,0.030790321862647015,1.1127437476548794,5.013814199919082,1.0599999999999998,0.34318231724663184,0.1028338446508909,0.030790321862647015,1.2986832110013091,1.1601027540818296,1.210040400506967,HAR_PNC_HAP_TDW_VNL_HUB_SAV_TCO,"[0.14872705 0.05719468 0.05057275 0.04136823 0.03920259 0.03272511
 0.03223245 0.03142241]",0.018439998511747206,1.4590786275997916,0.015683174254222276,1.281871705091583,1.06,,[],5.013814199919082,1.06,1.06,1.06,,[],0.015683174254222276,1.6139896824194364,0.015683174254222276,1.4879000414146528,1.06,,[],1.191159410395895,0.7675793633697199
+6*25/10-6*27/10,7.566270619846778e-21,0.0,QBS,1.185792349726776,670.5528014660937,950.3735470833836,1.1236921793659043,4572.898141142408,1.092646551994235,0.4359690323132781,0.04891398167678627,195.16730467020952,1.3107833146323635,1.2009038691322083,1.155227219727728,QBS_MCG_TTA,[670.55280147 464.45016419 397.76568996],137.8669768440704,1.211050849833957,137.8669768440704,1.1353597453505941,1.000268456375839,TTA,[397.76568996],163.46426045869111,1.0743772078443454,1.0629720400989722,1.155227219727728,QBS_MCG_TTA,[670.55280147 464.45016419 397.76568996],10.78951815832468,1.5526277997885607,10.78951815832468,1.4762875000761273,1.06,,[],1.3624082463121312,1.444721299496068
+9+20+20-7-12-24,1.0625442684549198,0.9069171022169847,PLX,0.9644268774703557,4.069416620926869,1.6081011612915637,1.1816225499342297,1.6081011612915637,1.11022603527929,0.465938123906621,0.22621018282770922,1.6081011612915637,1.2203940090571865,1.127371925368602,1.539970875806116,PLX_HHS,[4.06941662 1.83148795],0.46150995953272916,1.3156360072387532,0.3668056471369088,1.1391764509603124,1.6490708058948111,HHS_TEG_TIP,[1.83148795 0.94481379 0.41456699],5.0116138062461575,1.06,1.06,1.06,,[],0.47064261597470736,1.574633751815068,0.47064261597470736,1.4746327350420383,2.115514874141876,HHS,[1.83148795],1.4160861875024073,1.4104915711849513
+7*27/13+9*20/2,0.9556165408656465,0.869143258228772,HHS,2.115514874141876,2.478108869344084,46.747382340868846,1.0713759553780842,46.747382340868846,1.0705048557200083,0.4255372319495755,0.29841484793534523,46.747382340868846,1.112559781575347,1.0705048557200083,1.06,,[],0.5327058355584127,1.3491346689360606,0.5327058355584127,1.2137121667582242,2.115514874141876,HHS,[2.47810887],70.69306436854924,1.06,1.06,1.06,,[],0.553623324779541,1.5723537201792526,0.553623324779541,1.473512486614516,2.115514874141876,HHS,[2.47810887],0.986531435800229,0.9654424816110232
+6+9+14-10-13-13,1.6739100094170152e-81,0.0,HVX,1.020833333333333,7.6766988250371755,19.780237364191848,1.0763346731480985,19.780237364191848,1.0745770033839728,0.15877004982589196,0.013195949648385785,19.780237364191848,1.109013299345465,1.0745770033839728,1.06,,[],3.0165001137087315,1.4419998877545075,2.8550843309520513,1.2888319147352942,1.2513626328260576,HHS_QCG_TNI_SJF_LSS_FIT_QBS_HAP_DAH_TSC_DAG_DRH_ITC_HQC_TLH_ITA_PAN_YEG,"[5.10585936 4.90042817 4.80145754 4.59303086 4.46444041 4.37572506
 3.94767247 3.64695127 3.59964225 3.49771218 3.41442318 3.37264882
 3.27136291 3.17771701 3.11914217 2.99551756 2.97009042 2.92751478]",19.780237364191848,1.06,1.06,1.06,,[],3.2485496473631486,1.6329843610347168,3.2485496473631486,1.4728351417299785,1.2020153509008609,HHS_QCG_TNI_SJF_LSS_FIT_QBS_HAP_DAH_TSC_DAG_DRH_ITC,"[5.10585936 4.90042817 4.80145754 4.59303086 4.46444041 4.37572506
 3.94767247 3.64695127 3.59964225 3.49771218 3.41442318 3.37264882
 3.27136291]",1.2057881100536858,1.193478762792331
+0*27/33+9*20/2,1.0404088702279317,0.9304418855269916,TCR,1.103125,5.083306922812642,3.91966918110085,1.1109292558322996,96.1891143015021,1.0729003494396914,0.43723105942585094,0.3422347769925687,5.715421572807908,1.1300462087248218,1.0938608178011853,1.06,,[],0.536366178555534,1.2401888281317597,0.536366178555534,1.1391298757582655,2.115514874141876,HHS,[2.39069791],274.1840158988798,1.06,1.06,1.06,,[],0.5587699670021958,1.5462835631423901,0.5587699670021958,1.4710183892343698,2.115514874141876,HHS,[2.39069791],1.1762393274654623,1.2748686809773244
