CT,GeoMax,HarMax,CtyMax,ProMax,Value,ValGeo,GeoLim,ValHar,HarLim,GeoRank,HarRank,Nguong1,GeoNgn1,HarNgn1,ProNgn1,CtyNgn1,Values_Ngn1,ValGeoNgn2,GeoNgn2,ValHarNgn2,HarNgn2,ProNgn2,CtyNgn2,Values_Ngn2,Nguong_mm3,MinGeo3,MinHar3,ProNgn_mm3,CtyNgn_mm3,Values_Ngn_mm3,ValGeoNgn3,GeoNgn3,ValHarNgn3,HarNgn3,ProNgn3,CtyNgn3,Values_Ngn3,Slope_avg,Slope_wgt_avg
-3*33*33*34/1/30,8.30291472047363e-37,0.0,VLF,0.375,10.660632744139667,54189.805627863716,1.06,54189.805627863716,1.06,0.12392478541229612,0.023016707837905884,54189.805627863716,1.1029883217172793,1.06,1.06,,[],-1.9141971496749946e-06,2.0079531706533906,-1.9141971496749946e-06,1.778574386527212,0.9334616890745333,DRH_DVP,[ 0.00000000e+00 -9.59479403e-07],54189.805627863716,1.06,1.06,1.06,,[],-1.9141971496749946e-06,1.512684134358391,-1.9141971496749946e-06,1.3354557575215193,0.9334616890745333,DRH_DVP,[ 0.00000000e+00 -9.59479403e-07],1.0534360076189426,0.14353289774640487
+2*22/14-3*21/7,0.9199932856475193,0.8458094897577392,L10,1.030674846625767,0.22452409226927028,0.05896538158724937,1.1028724409366457,0.05896538158724937,1.0612102069992804,0.45843431829832865,0.3742696250645897,0.0030837151405534702,1.2558721945611404,1.174397748765894,1.206653902489943,L10_CLG_SGT_UDC_LGL_VSI_VNE_VRC_LHG_DRH,"[0.22452409 0.22252711 0.19989467 0.1190891  0.02767442 0.0146676
 0.01266978 0.00989363 0.00780783 0.00334553]",0.0026429344377538215,1.971999944040778,0.0026429344377538215,1.7369825629671698,0.9005831052682935,VSI_VNE_LHG_DRH,[0.0146676  0.01266978 0.00780783 0.00334553],17.289176298215402,1.06,1.06,1.06,,[],-0.02597463735092704,1.2640806288665045,-0.02701375830046255,1.2141146048233413,1.1441860873736243,LHG_DRH_KSB_VNS_VIP,[ 0.00780783  0.00334553 -0.00129856 -0.00168496 -0.00698574],1.1111915029137893,0.7910162127947657
-3*18*33*34/1/16,8.30291472047363e-37,0.0,VLF,0.375,10.636345471462883,53843.16315450235,1.06,53843.16315450235,1.06,0.12392478541229612,0.023016707837905884,53843.16315450235,1.0915168949760514,1.06,1.06,,[],-1.9100235605846283e-06,1.9188678125419496,-1.9100235605846283e-06,1.7315033532692756,0.9334616890745333,DRH_DVP,[ 0.00000000e+00 -1.06004749e-06],53843.16315450235,1.06,1.06,1.06,,[],-1.9100235605846283e-06,1.512684134358391,-1.9100235605846283e-06,1.3354557575215193,0.9334616890745333,DRH_DVP,[ 0.00000000e+00 -1.06004749e-06],1.0496489946679566,0.14405230849282577
+8*22/30-3*6/1,1.2674137036359325,1.0231242326655652,LGC,1.583653846153846,0.11330695688087843,0.025663463001219418,1.4140919446648512,0.025663463001219418,1.1860248104300646,0.6317411271420442,0.5485052711571751,4.622874987728215,1.3739287737168275,1.1664429365285622,1.06,,[],0.05771548429662189,1.9405046849941814,0.05771548429662189,1.7103538922269637,1.06,,[],26.155508457787043,1.06,1.06,1.06,,[],-0.003996046995822837,1.2586216641986399,-0.003996046995822837,1.2163298886758405,0.7992479215267659,DRH_MHC_DSN,[ 5.53757599e-02 -4.79184910e-07 -1.95946839e-04],1.6548117989195223,0.0
-3*26*26*30/1/8,8.049704572294453e-37,0.0,VLF,0.375,2088571.2425429823,37707990.73401754,1.1772720637193077,37707990.73401754,1.1372142085312933,0.11649979633067267,0.022957102529278836,37707990.73401754,1.1772720637193077,1.1372142085312933,1.06,,[],-1.13211582872781e-05,1.9474997458354684,-1.13211582872781e-05,1.7032235973545693,0.7392638036809817,DRH,[0.],37707990.73401754,1.06,1.06,1.06,,[],-1.13211582872781e-05,1.5488056270094577,-1.13211582872781e-05,1.3664028934987833,0.7392638036809817,DRH,[0.],0.9261572638178411,2.4328229615065298
-3*33/1-26*34/8,8.049704572294453e-37,0.0,VLF,0.375,5832.166569413416,1108868.1024334147,1.1772720637193077,1108868.1024334147,1.1372142085312933,0.11649979633067267,0.022957102529278836,1108868.1024334147,1.1772720637193077,1.1372142085312933,1.06,,[],-0.003837140889602121,1.9437187714441806,-0.003837140889602121,1.6988720893628,0.7392638036809817,DRH,[-0.00207549],1108868.1024334147,1.06,1.06,1.06,,[],-0.003837140889602121,1.512684134358391,-0.003837140889602121,1.3354557575215193,0.7392638036809817,DRH,[-0.00207549],0.908947876597585,1.861879211818304
+8*22/6-3*9/7,1.2818242524515402,1.0928340910786907,FDC,0.9558823529411764,7.834389458897716,0.007287816028727042,1.3988819830016246,0.007287816028727042,1.2320806831216748,0.5950890433591656,0.5207391763999613,0.05135068943623952,1.440557828119312,1.2768814787571543,1.1171991294126613,FDC_VRC_UDC_DRH_PTL_CCL_VSI_TMT,"[7.83438946 1.28436601 1.00390807 0.84319335 0.44892121 0.10622625
 0.05716429 0.05618532]",0.015182924125785762,1.9573419927595033,0.015182924125785762,1.6985290329498908,0.9359625470017814,DRH_DAG,[0.84319335 0.03542134],0.9650998343147763,1.0930409094162687,1.06,1.6202911467617351,FDC_VRC_UDC,[7.83438946 1.28436601 1.00390807],0.0012825892076651208,1.3728873504920043,0.0012825892076651208,1.2675179768740386,0.9359625470017814,DRH_DAG,[0.84319335 0.03542134],-0.5007058728066118,2.2141511312490407
-3*33/1-25*30/8,8.049704572294453e-37,0.0,VLF,0.375,6070.108529910415,1108871.1910073762,1.1772720637193077,1108871.1910073762,1.1372142085312933,0.11649979633067267,0.022957102529278836,1108871.1910073762,1.1772720637193077,1.1372142085312933,1.06,,[],-0.004463592511343432,1.939950621348266,-0.004463592511343432,1.6962566515213398,0.7392638036809817,DRH,[-0.00287677],1108871.1910073762,1.06,1.06,1.06,,[],-0.014231882656514563,1.512684134358391,-0.014231882656514563,1.3354557575215193,0.7392638036809817,DRH,[-0.00287677],0.8954140181322381,1.861857614775555
-3*30/1-29*33/12,8.049704572294453e-37,0.0,VLF,0.375,5818.740254776212,1102012.6262393994,1.1772720637193077,1102012.6262393994,1.1372142085312933,0.11649979633067267,0.022957102529278836,1102012.6262393994,1.1772720637193077,1.1372142085312933,1.06,,[],-0.0028755598278286548,1.9387365848103297,-0.0028755598278286548,1.6930554454305118,0.7392638036809817,DRH,[0.],1102012.6262393994,1.06,1.06,1.06,,[],-0.011742214470412536,1.57022750432132,-0.011742214470412536,1.353294031645959,0.9334616890745333,DRH_DVP,[ 0.         -0.00283419],0.9092330446674575,1.8674323334415455
-3*30*30/1/13,0.9757667640174312,0.8895121934456909,NotInvest,1.06,,-1.1946172900194716e-06,1.067343138586756,-1.1946172900194716e-06,1.0647431512255057,0.542307335198245,0.5030091146935818,-9.7435931522285e-08,1.1771771646833091,1.1080379104789952,0.9308967239748784,DRH_CLL,[0. 0.],-0.0003661451498775449,1.9192684322967748,-0.0003661451498775449,1.692418006471442,0.7392638036809817,DRH,[0.],0.0,1.06,1.06,1.06,,[],-0.0005517248740013403,1.8476889022245717,-0.0005517248740013403,1.5887252411233155,0.7392638036809817,DRH,[0.],0.0,0.0
