CT,GeoMax,HarMax,CtyMax,ProMax,Value,ValGeo,GeoLim,ValHar,HarLim,GeoRank,HarRank,Nguong1,GeoNgn1,HarNgn1,ProNgn1,CtyNgn1,Values_Ngn1,ValGeoNgn2,GeoNgn2,ValHarNgn2,HarNgn2,ProNgn2,CtyNgn2,Values_Ngn2,Nguong_mm3,MinGeo3,MinHar3,ProNgn_mm3,CtyNgn_mm3,Values_Ngn_mm3,ValGeoNgn3,GeoNgn3,ValHarNgn3,HarNgn3,ProNgn3,CtyNgn3,Values_Ngn3,Slope_avg,Slope_wgt_avg
-9*31/17-15*22/1,1.9489995577765966e-65,0.0,NotInvest,1.06,,5.774152647532543,1.0992646522633291,5.774152647532543,1.0933378424078457,0.14832032674412468,0.016288962719658365,5.774152647532543,1.0992646522633291,1.0933378424078457,1.06,,[],-8.832169577143652e-07,1.2689333118788864,-8.832169577143652e-07,1.1958387215947797,1.1688121248434153,SKG_RAL_NKG_DGW_DCM,[0. 0. 0. 0. 0.],17.502315631501254,1.06,1.06,1.06,,[],-0.0005137231677896068,1.8361750231717386,-0.0005137231677896068,1.6526210030297344,1.108417733958227,SKG_RAL_NKG_DCM_IJC,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -4.26244206e-05]",0.0,0.0
+4*25-3*22-21*21,0.9572367370538183,0.8193250701648742,TDW,0.9496855345911948,0.01992382226998404,0.3426996839442336,1.1003797558658848,0.3426996839442336,1.0941291514251568,0.392692280203627,0.20061446832847532,0.3426996839442336,1.1013590462458989,1.0941291514251568,1.06,,[],0.002824223956011655,1.289233180465229,0.009663714570858366,1.2072844032980348,1.06,,[],0.3426996839442336,1.06,1.06,1.06,,[],0.002824223956011655,1.8164497221845393,0.002824223956011655,1.6360900043823234,1.06,,[],0.9402847673963205,0.9181220709480472
+4*20*34-3*3*9,4.487140310765563e-33,0.0,DGW,1.466257668711656,0.0005436379695865384,0.4629647874398162,1.06,0.4629647874398162,1.0599999999999998,0.2800808542626055,0.03156675920678896,0.4629647874398162,1.06,1.0599999999999998,1.06,,[],0.00019042192430069403,1.514954685984381,0.00019042192430069403,1.363554757053585,1.06,,[],0.4629647874398162,1.06,1.06,1.06,,[],0.00010920923420621987,1.8288535600301754,0.00010920923420621987,1.6223726267766323,1.06,,[],0.8979427697961925,0.09377348805281262
-13*33/26-16*34/22,0.8769800493149079,0.788784136676322,NTL,1.053465346534654,5.429186378312761,40.155551441843514,1.0861494425452791,40.155551441843514,1.0834321006447964,0.40528329911782,0.3529628374410697,40.155551441843514,1.0861494425452791,1.0834321006447964,1.06,,[],-0.04048823824067263,1.2625581767395937,-0.04048823824067263,1.2277307259119827,1.498758771521372,PTL_TRA_PNJ_TLG,[-0.00763973 -0.01859513 -0.03696387 -0.04005989],40.155551441843514,1.06,1.06,1.06,,[],-0.04048823824067263,1.652530242879269,-0.04048823824067263,1.6181896595527208,1.2489073318890447,PTL_TRA_TLG,[-0.00763973 -0.01859513 -0.04005989],0.9500537347693572,0.0
+4*14/19-9*12/1,0.8797864038425349,0.7346576388478351,VSH,1.164556962025316,0.20708223488496988,0.9824101181500923,1.0657671128107478,5.312287112932265,1.0599999999999998,0.28896291284124703,0.07413422163221794,5.312287112932265,1.1303791329932749,1.0599999999999998,1.06,,[],0.08364610362585559,1.345930143089049,0.08364610362585559,1.2795621894741303,1.06,,[],5.312287112932265,1.06,1.06,1.06,,[],0.004856236079813798,1.7545954615838832,0.004856236079813798,1.6180313011502454,1.0110589811843773,NKG_DCM_ITD,[0.0252678  0.01950817 0.01138069],1.13882925349847,1.008667380113586
+0*12/22+6*22/13,0.9460589402389757,0.7626030209440893,CTD,0.8798053527980536,2466.4478049121135,39106.74932744733,1.1410904428666604,39106.74932744733,1.1254214245743779,0.3465814070630932,0.17466482106920467,39106.74932744733,1.1410904428666604,1.1254214245743779,1.06,,[],42.88011654334534,1.323701211435876,42.88011654334534,1.1891120768888708,1.6155437835408346,CTD_TLH_LDG,[2466.44780491  107.75454384   56.03961978],685407.351770397,1.06,1.06,1.06,,[],42.88011654334534,1.757883989519335,42.88011654334534,1.6024627337613082,0.9062878115341619,CTD_TLH,[2466.44780491  107.75454384],1.2959026296144571,1.7587835646079015
+4*22-2*10-2*27,1.7671426818091846e-65,0.0,CMX,1.128205128205128,0.24646708834005113,11.21164589254799,1.06,11.21164589254799,1.0599999999999998,0.12086257346170456,0.016124692242745906,11.21164589254799,1.06,1.0599999999999998,1.06,,[],0.00011943791411428913,1.2428008082526536,0.008707148165584102,1.1359810328271365,1.292978208232446,NKG,[0.01211357],11.21164589254799,1.06,1.06,1.06,,[],0.00011943791411428913,1.7774896802594153,0.00011943791411428913,1.600255141162016,1.292978208232446,NKG,[0.01211357],0.6360813274825338,0.762526684647055
-3*34/27-28*31/0,1.058857476883962,0.966561612763248,NotInvest,1.06,,-1.7079315589119096e-06,1.1600952336561372,-1.7079315589119096e-06,1.0967455572930962,0.591179414550678,0.41570003732987826,0.008601377654510401,1.1149834593542887,1.0772357723577235,1.06,,[],-0.004227428662418133,1.3190907589860064,-0.004227428662418133,1.128483962365732,1.2319781532128218,HAR_DHA_VNS_MHC_STG_TMS_NCT,"[-2.62153777e-05 -6.68756593e-05 -1.62771234e-04 -4.48532686e-04
 -5.63580960e-04 -8.94095884e-04 -4.01032803e-03]",0.008601377654510401,1.06,1.06,1.06,,[],-0.004227428662418133,1.773495065813908,-0.004227428662418133,1.596168038460232,0.7207586222396402,VNS_STG_TMS,[-0.00016277 -0.00056358 -0.0008941 ],0.0,0.0
+1*8/2-3*8/4,4.8272345710224394e-33,0.0,DPR,1.1575,2.3955727280730112,0.4564805815761292,1.2388290520039706,0.4564805815761292,1.2018958425349817,0.29815665488741616,0.030844656125492108,0.5783615612247842,1.2597663337024543,1.219655622249835,1.07365538573508,DPR_KHA,[2.39557273 1.08883697],0.001416815785556743,1.307083641872698,0.011658851624855363,1.2043654773275785,1.098958333333333,DHA,[0.09932119],2.2249484520981775,1.1442392010179967,1.06,1.1575,DPR,[2.39557273],0.001416815785556743,1.7756675279631768,0.001416815785556743,1.594449171358294,1.098958333333333,DHA,[0.09932119],1.2162464963789064,1.111776992851383
+22*24/2-2*27/9,4.609083494508313e-33,0.0,PNC,1.891213389121339,0.20894696309254293,1.801479995536605,1.0778581865842765,1.801479995536605,1.0765639755536947,0.26278706201380087,0.029597753645010744,1.801479995536605,1.107263936677487,1.0765639755536947,1.06,,[],0.2392031830907391,1.2148868205923795,0.2392031830907391,1.1297174245384578,1.06,,[],1.801479995536605,1.06,1.06,1.06,,[],0.020769034018512895,1.7007686713372587,0.020769034018512895,1.592677887378558,1.06,,[],1.005993421117529,1.0626600308908731
