CT,GeoMax,HarMax,Value,CtyMax,ProMax,ValGeo,GeoLim,ValHar,HarLim,GeoRank,HarRank,Nguong1,GeoNgn1,HarNgn1,ProNgn1,CtyNgn1,Values_Ngn1,ValGeoNgn2,GeoNgn2,ValHarNgn2,HarNgn2,ProNgn2,CtyNgn2,Values_Ngn2,Slope_avg,Slope_wgt_avg,ValGeo3,MinGeo3,ValHar3,MinHar3
+4*24/21-6*23/31,1.0837942814064394,0.9339178531918606,76.62126918580117,YBM,1.831360946745562,5.638471764062257,1.211880670326701,5.638471764062257,1.0972735575071635,0.5174134991506772,0.20590849652816914,6.967354822218114,1.477080883721093,6.967354822218114,2.1636520790110323,YBM_HVX_HAX_ASP_FIR_HSG_VMD_TLH_PIT_UDC_HVG_TTF,"[76.62126919 33.96154903 24.57306007 23.52650743 15.87666862 14.85983635
 10.79892523 10.43269264  9.08253047  8.71056198  7.41616488  7.28763287]",1.9295048796277252,1.169264590078742,1.9295048796277252,1.128712547994071,2.511612737030467,HAX_FIR_HSG_CTF_FRT_PET_TDG,"[24.57306007 15.87666862 14.85983635  4.98295932  4.78536037  2.38753346
  1.57653096]",1.3001861401245973,1.32539732885326,6.967354822218114,1.3766628632392932,6.967354822218114,1.3728217802316438
+24*31-3*17-4*21,1.3770461907849134,1.1728988951988009,0.06511687376106035,TDG,1.964497041420118,0.01013855944320545,1.5618315085629055,0.01013855944320545,1.4846972953656352,0.7413575003210973,0.6103427272979316,0.02560885637361719,1.568127349800027,0.02560885637361719,2.074797248423553,TDG_LGL_RAL_TDW,[0.06511687 0.04760358 0.03133522 0.02609616],0.008449263524236207,1.2305439369396036,0.008449263524236207,1.1995428552544212,1.06,,[],1.73124071346864,1.7036062567266963,0.02560885637361719,1.4886879539359803,0.02560885637361719,1.371741197298538
+2*24/12-27*32/1,1.2679633956751326,1.1308766644691755,36.62025364018357,NNC,1.00726392251816,0.24643125583605902,1.385915724609426,0.24643125583605902,1.3011089650501442,0.6545633827366292,0.3947706892370197,0.8389500776487875,1.415915072283142,0.8389500776487875,1.451628992386251,NNC_SBV_VMD_TDG,[36.62025364  2.96701909  1.52619784  1.02120571],0.5265176040054088,1.1504436774193139,0.5265176040054088,1.129601514229558,1.06,,[],1.3731526285609097,1.104169896120207,0.8389500776487875,1.377018752070602,0.8389500776487875,1.3551382468105926
-8*14*24*30*32/2,1.5649739372305709,1.389538278984889,0.008185998931486296,HTI,1.716981132075472,0.0007320880396936162,1.634415059786228,0.0007320880396936162,1.5003093623701904,0.8163171121263357,0.7714615780907985,0.0009242431224908334,1.5327214437561878,0.0009242431224908334,1.6900537550799826,HTI_FLC_LGL_VTB,[0.008186   0.00189613 0.00178032 0.00120853],2.0652753906263887e-06,1.121906424865091,8.550607381139751e-05,1.1087652989066772,1.06,,[],1.870041530944157,2.0115194011187136,0.0009242431224908334,1.376754955157232,0.0009242431224908334,1.333035272924641
+24*31-3*17-22*31,1.380595154531168,1.24995404023565,0.05269472902021387,TDG,1.964497041420118,0.010000321442992536,1.481493678022285,0.010000321442992536,1.3868297428866503,0.7840350232197352,0.7374840901383399,0.020406904955532434,1.516436001365237,0.020406904955532434,1.8911908769223549,TDG_RAL_TDW_EVE_YBM_CMV,[0.05269473 0.02664203 0.02554473 0.0222281  0.02086847 0.02050523],0.016086626816263255,1.2458883849955982,0.016086626816263255,1.2149184470357612,1.06,,[],1.5924127929259602,1.593120139604991,0.021010408915321552,1.353322758137834,0.020406904955532434,1.3309490722866675
+25*25-2*25-6*8,1.135601312110737,0.8304189219944117,0.028324258392961682,TDW,1.573809523809524,0.006263558587654811,1.3569607516035787,0.006263558587654811,1.0825491932580933,0.3823596841936494,0.17536402630959927,0.006263558587654811,1.558956678830581,0.006263558587654811,1.3583977461518448,TDW_BMC_PJT_SCD_HOT,[0.02832426 0.02225925 0.00890806 0.00808798 0.00673137],0.0015286424329856467,1.073154461842951,18.510920622114927,1.0599999999999998,1.06,,[],1.7693115699245563,0.4704944573736066,0.006372871972113288,1.4406857278557128,0.006372871972113288,1.329948046875
+6*24*26-14*14*25,1.5113430999535857,1.2090819509743662,0.23512119995157055,YBM,1.831360946745562,0.002039148058632841,1.7070961318469038,0.002039148058632841,1.4844518959811042,0.644934229191534,0.5369242637785759,0.0036571783292585623,1.5701460501458693,0.00289584827741546,1.7073838675435191,YBM_HTI_TDW,[0.2351212  0.11598546 0.00733726],0.30599800092648743,1.06,0.30599800092648743,1.0599999999999998,1.06,,[],2.3967604697477447,2.4876296609390245,0.0026992778089888723,1.3488922785037731,0.00289584827741546,1.3273794172843403
+2*24/12-17*23/1,1.44847968720589,1.2529260227172896,1.526783532674892,VMD,1.226600985221675,0.24643125583605902,1.5832245490076624,0.24643125583605902,1.465336453533683,0.7826497950611908,0.7379747740903821,0.8003517871691335,1.4711685442395126,0.8003517871691335,1.5955490133208965,VMD_TDG,[1.52678353 1.02120571],0.5199084389268295,1.2362171774929014,0.5199084389268295,1.1917516704596125,1.06,,[],1.8487738988224052,1.531003930464055,0.6939168559661348,1.3996566341261776,0.6939168559661348,1.3236786291172136
+12*24*28*30/21/22,1.2255554840217313,0.9394631692982106,243.01278711202534,RAL,3.337899543378996,16.95852073511064,1.5505479246004168,16.95852073511064,1.4293962596557472,0.5728327660494154,0.38779324097034523,47.0951883988693,1.4881391873794612,47.0951883988693,1.958648380824581,RAL_SZL_HVH_FIR_SVI_PNC_PDR,"[243.01278711 203.24457845 198.50191781 164.00527237 149.04517448
  83.0241811   62.38372151]",47.0951883988693,1.1940709665598364,47.0951883988693,1.1608181149613204,2.167079370949563,FIR_TDC_TDG,[164.00527237   5.7890807    1.66389042],1.7475854829174124,1.4569252311761376,47.0951883988693,1.4161469131529965,47.0951883988693,1.3183217545293557
+8*8*19*24*28/5,1.120415169688869,0.8658595768184504,19.671496937846875,SAV,4.160596026490066,8.97690029222722,1.4011197736154266,8.97690029222722,1.2751354371374475,0.48682841678718924,0.3378292361387795,10.268340185440843,1.4334425898698973,10.268340185440843,2.690393970543217,SAV_DCM_POM_DIC_HTI,[19.67149694 16.78249719 16.73127302 13.6545048  13.38468484],9.878063831732184,1.2519065454198066,0.6589819669390665,1.2036441703899259,1.06,,[],1.6324245693124348,1.1378465819829104,10.268340185440843,1.3343712617707768,10.268340185440843,1.3183217545293557
+3*24*28*33/21/22,1.256585617618945,0.9999535579172539,181.69131747579542,FIR,1.216428571428571,14.378085331772462,1.5505479246004168,14.378085331772462,1.4293962596557472,0.6290213828969385,0.5492452413635208,20.81209693121095,1.4885657269421817,20.81209693121095,1.9594820731059015,FIR_PDR_HVH_SZL_RAL_VAF_PNC_SVI,"[181.69131748 128.36603815 109.10631832  95.6862483   72.05116735
  60.32697383  58.47934301  41.44820792]",13.74394745841286,1.2831000534204646,13.74394745841286,1.2156775597558425,2.2683705357142854,FIR_TDC,[181.69131748   3.39211142],1.7993234919870122,1.5256649802201,20.81209693121095,1.4161469131529965,20.81209693121095,1.3183217545293557
+0*17/21+26*27/21,1.5617727258123395,1.3294978210412,165.2990497706562,FIR,1.216428571428571,12.342940078803645,1.6809672197722096,25.66274616203272,1.5269640673846199,0.8200601130655241,0.7964205134434224,27.86212208948686,1.5556848804681005,27.86212208948686,1.0759261931772868,FIR_HVX_SSC,[165.29904977  65.37219334  55.83176582],12.28911355938695,1.2233450479620405,12.28911355938695,1.1128206708073203,2.223830658286934,FIR_TDC_CVT_RAL_BFC_PET_CTF_FRT_HT1_SHI_SVC,"[165.29904977  21.86081491  17.21235329   9.55879095   9.4678441
   5.8830289    5.35787445   4.22827728   3.60447982   2.96261164
   1.3202427 ]",1.661737582912565,1.4855069252785662,25.94136478441355,1.3881101047087057,25.94136478441355,1.3183217545293557
+26*27/21-9*25/34,1.1489772763150978,0.9745229986152334,165.2990497706562,FIR,1.216428571428571,10.491888628431797,1.3135919627848605,74.11851704151519,1.2025098375814238,0.5262707042914077,0.34479691728146883,12.745233446213073,1.4752175950772124,12.745233446213073,1.216428571428571,FIR,[165.29904977],10.667902997068586,1.111562989813939,91.57363002569662,1.0879444650258454,1.216428571428571,FIR,[165.29904977],1.8274696305777394,2.0772604494724436,12.745233446213073,1.4161718625793078,12.745233446213073,1.3183217545293557
-24*27/33-24*29/1,1.0739616529747416,0.8155369326431955,262.83897173176024,DTT,1.081967213114754,9.795804414337455,1.2632787832569379,9.795804414337455,1.2117278322076679,0.4274879939526659,0.1591318673528322,0.868283613181843,1.3849834306747912,0.868283613181843,1.4047747905674952,DTT_LSS_FTM_PNC_HVG,[262.83897173   7.75569408   6.35792459   1.20291252   1.00879701],0.6940712652357987,1.2216357257659658,0.6940712652357987,1.1832734606912252,1.06,,[],7.95759912863171,5.556764513555367,0.868283613181843,1.3534292124294902,0.868283613181843,1.3154662854196453
+28*29/32-1*33/5,1.5748289291561378e-25,0.0,1549.7509559710934,DIC,1.151079136690648,1.3639789688379347,1.4016626948733155,1.3639789688379347,1.315673708965959,0.4137749413991718,0.042143806354856456,9.426312542999547,1.408373334131763,9.426312542999547,1.7618579176945723,DIC_PIT_VOS_DAH_TTF_FIR_VID,"[1549.75095597  114.93574632   75.81459639   46.71196214   22.94215136
   20.4208649    16.38998506]",0.11260392632607684,1.2677805358989989,0.11260392632607684,1.2022370680392405,1.06,,[],1.6486180080258086,0.0,9.426312542999547,1.339572584030051,9.426312542999547,1.3150528208204129
