CT,GeoMax,HarMax,CtyMax,ProMax,Value,ValGeo,GeoLim,ValHar,HarLim,GeoRank,HarRank,Nguong1,GeoNgn1,HarNgn1,ProNgn1,CtyNgn1,Values_Ngn1,ValGeoNgn2,GeoNgn2,ValHarNgn2,HarNgn2,ProNgn2,CtyNgn2,Values_Ngn2,Nguong_mm3,MinGeo3,MinHar3,ProNgn_mm3,CtyNgn_mm3,Values_Ngn_mm3,ValGeoNgn3,GeoNgn3,ValHarNgn3,HarNgn3,ProNgn3,CtyNgn3,Values_Ngn3,Slope_avg,Slope_wgt_avg
+0*1*12*27/25/33,0.8878949011164415,0.8242838072733054,HU1,5e-324,28634.31792075882,148.37078936729276,1.0689922268173597,148.37078936729276,1.0622387656639838,0.3377347276947544,0.2885550786916178,148.37078936729276,1.1320420719848063,1.0622387656639838,5e-324,HU1,[28634.31792076],0.9771714403991754,1.7386608320297043,0.9771714403991754,1.5511766862597351,5e-324,PET,[2.08343046],356.1296459643222,1.06,1.06,5e-324,HU1,[28634.31792076],0.2602700724710973,1.3998827220001422,0.2602700724710973,1.2983734461812397,5e-324,LM8,[0.29746494],-5.1953708321628955,-9.480471494897591
+14-2-3-10-10-13,9.537372354265133e-20,0.0,DAH,5e-324,1.9306191361420193,6.046024180321434,1.1788610188714632,10.808109299103567,1.1153553017725188,0.29628775078561137,0.044738199999626437,2.329438365696595,1.3174498600866364,1.2091299610191193,1.06,,[],1.3966463467055794,1.772288109696472,1.3966463467055794,1.5380136729076312,5e-324,HAR,[1.83617212],11.411056022705242,1.06,1.06,1.06,,[],1.3966463467055794,1.4882426827324622,1.3966463467055794,1.3405345494232852,1.06,,[],1.4233380804506255,1.8179977886184564
+14-2-3-11-13-31,9.537372354265133e-20,0.0,APC,5e-324,2.5164055421221523,7.4226493874498285,1.1788610188714632,10.808109299103567,1.1153553017725188,0.29628775078561137,0.044738199999626437,6.043958405712566,1.2355397409211188,1.1545514356414703,1.06,,[],1.3943661770106992,1.7683623045592063,1.3943661770106992,1.535742561990237,5e-324,HVX_HAR,[1.871777   1.83617212],11.411056022705242,1.06,1.06,1.06,,[],1.3183399801238385,1.5007487597600904,1.3183399801238385,1.360050749602954,1.06,,[],1.4506961609120652,1.7891185245467236
+1*12/33+7*8/13,0.8859864937561063,0.7597124301309117,CDC,5e-324,91.17732412220944,1216.5593493458405,1.0607694257714255,3928.348512963413,1.0599999999999998,0.3268236530243661,0.21064705844853468,25.59901578830272,1.2568108673189273,1.1560090089213004,5e-324,CDC_HAS_CTD_TDG_LM8_HMC_TNI_MWG_PET_PHC_DHM_TCO,"[91.17732412 77.27547593 73.26968442 69.78198722 55.4940907  48.995993
 46.87575782 46.00816921 44.30046938 40.96839301 39.48995847 31.78850431]",39.14240493051301,1.7068720284102001,39.14240493051301,1.5195293237471281,5e-324,HAS_CTD,[77.27547593 73.26968442],3928.348512963413,1.06,1.06,1.06,,[],118.7165900027747,1.1807477046453503,118.7165900027747,1.1258009400342386,1.06,,[],1.0454281632461024,0.9767371111508566
+14-2-3-13-17-25,9.537372354265133e-20,0.0,APC,5e-324,2.2969377552291443,6.989500616489178,1.1788610188714632,6.989500616489178,1.1144061708910031,0.29628775078561137,0.044738199999626437,6.021835068290009,1.2448519494576902,1.1545514356414703,1.06,,[],1.3741111836241737,1.7366243388831948,1.3741111836241737,1.512673841100154,5e-324,HAR_HVX,[1.81838582 1.55671683],10.740838206307492,1.06,1.06,1.06,,[],1.3741111836241737,1.4597686515768589,1.26599980454793,1.3225491872304305,1.06,,[],1.4882011590162185,1.7872442007492642
+14+34-2-3-13-24,9.537372354265133e-20,0.0,APC,5e-324,2.5720347257151905,7.373943880409225,1.1788610188714632,10.596150444917894,1.1153553017725188,0.29628775078561137,0.044738199999626437,6.047366499069091,1.2527400029439317,1.1545514356414703,1.06,,[],1.4096278991259872,1.7366243388831948,1.4096278991259872,1.512673841100154,5e-324,HVX_HAR_TSC,[2.2747266  1.9510392  1.49059066],11.411056022705242,1.06,1.06,1.06,,[],1.4096278991259872,1.4597686515768589,1.2752323989419962,1.3225491872304305,1.06,,[],1.460264451312336,1.802422332185961
+14+33-2-3-13-30,9.537372354265133e-20,0.0,APC,5e-324,2.516405542122153,7.421802636404012,1.1788610188714632,10.808109299103567,1.1153553017725188,0.29628775078561137,0.044738199999626437,6.043958405712565,1.2653196330768801,1.1545514356414703,1.06,,[],1.3962291104448321,1.7366243388831948,1.3962291104448321,1.512673841100154,5e-324,HVX_HAR_TSC,[1.871777   1.83617212 1.46069293],11.411056022705242,1.06,1.06,1.06,,[],1.3183399801238387,1.4876767751264683,1.3183399801238387,1.3497479398614252,1.06,,[],1.4507300443573574,1.7891145130353758
+1*8/33-2*22/10,1.0408920977696159,0.9334323983849214,HHP,5e-324,8.374322048255088,24.132163088312005,1.1786238930003268,24.132163088312005,1.1434410725523723,0.47606230448286574,0.3631957042179982,24.132163088312005,1.2561093606541476,1.1944539799517078,1.06,,[],0.7656453550610076,1.6191441967386502,0.7656453550610076,1.5061282282448647,5e-324,CCI_GEX_DBC,[4.73165147 1.49494619 1.0765358 ],10196.812416118664,1.06,1.06,1.06,,[],0.16818204497314693,1.3230834883759637,0.16818204497314693,1.20974969330521,5e-324,CCI_GEX_GVR_SZL,[4.73165147 1.49494619 0.25437056 0.17468719],1.2785186735468963,1.2050376228845974
+1*4/30+8*9/12,0.8492526905236017,0.7171896445361724,HU1,5e-324,37.75286041957744,118.60882584207091,1.06,118.60882584207091,1.0599999999999998,0.25491721572510534,0.09780444571617428,15.674243150106093,1.193011688393667,1.0746741065072547,5e-324,HU1,[37.75286042],1.0380815332266071,1.6741509358389803,1.5134316263079926,1.5048724909081226,5e-324,CTD,[2.62001403],118.60882584207091,1.06,1.06,1.06,,[],1.0380815332266071,1.4318585539251043,1.0380815332266071,1.256527751978076,5e-324,CTD,[2.62001403],0.9199622377809433,0.8591786638844103
+1*8/30-2*3/25,0.9274726168026656,0.8139076517744067,HU1,5e-324,66.8980192129965,13.565934187329708,1.1006855023696471,13.565934187329708,1.0914557518322823,0.3454594862710026,0.20091502592748703,0.7045369865794251,1.2180777424360867,1.1109728645808383,5e-324,HU1_VCG_CCI_ASG,[66.89801921 45.98745217  3.75913264  1.1300215 ],0.49873065788454246,1.612999679006636,0.49873065788454246,1.5011046258974718,5e-324,CCI,[3.75913264],119.80943988806344,1.06,1.06,1.06,,[],0.039778091357135406,1.2494015905014784,0.2966627469448697,1.1694297620227634,5e-324,CCI,[3.75913264],1.0906837478875713,1.2703995699374435
