id,CT,MinHar3
1047097810,+14*24/22+17*31/28,1.4189472947434734
1086173530,+16*24/22+17*25/28,1.4189472947434734
1506372135,+3*6*24*31/10/21,1.4115330727351831
1195123817,+24*31/16-8*12/21,1.3843554972264658
947881070,+10*24*31-16*21*25,1.3778414273725692
736817133,+4*24/21+9*23/31,1.3778414273725692
1196777872,+24*33/21-8*22/21,1.3778414273725692
1532470370,+10*26*28*31/19/21,1.3778414273725692
1537295530,+13*20*24*31/12/21,1.3778414273725692
1489738235,+0*6*24*26/21/21,1.3756162853388938
727123026,+4*17/22-29*32/1,1.371741197298538
691371197,+3*23/31+24*25/12,1.371741197298538
443510456,+24*31-2*17-4*21,1.371741197298538
443527369,+24*31-3*17-4*22,1.371741197298538
443527752,+24*31-3*17-21*31,1.371741197298538
443645890,+24*31-17*24-22*31,1.371741197298538
644677075,+2*24/12-29*32/1,1.371741197298538
100235771,+10+20+29-12-17-22,1.3693744179170888
19012852,+10*24*31/18/21,1.3644554670442242
1196777778,+24*33/21-8*19/27,1.3642785270011066
1191235897,+24*26/21-18*25/0,1.3636543438335404
1146898102,+20*24/2-1*13/5,1.361941049257445
907614137,+9*15/5+24*24/21,1.3582934471982366
1520602045,+6*14*24*24/21/22,1.356776531161329
1194453203,+24*30/21-7*14/21,1.3553098102876366
1543326813,+20*24*28*31/1/27,1.3539312416082945
943905582,+10*20/22+17*31/28,1.3537866203001954
1472579755,-17*32/30-29*29/12,1.3526690150167409
20908389,+24*24*28/5/21,1.3518193995781933
1195231029,+24*31/21-1*22/30,1.351803814054475
1597048904,-14*17*24*32*33/3,1.350600808376951
1585312100,-8*14*14*24*32*33,1.350600808376951
1583792187,-8*8*10*24*30*32,1.350600808376951
1576971675,-6*6*8*14*30*32,1.350600808376951
443471884,+24*31-0*17-10*10,1.3503598714130447
237210501,+2*31-11*22-12*25,1.3481863230921705
835388413,+7*10/32+8*29/5,1.3479677311264362
1191229557,+24*26/21-9*22/5,1.3478711200844806
1184189486,+23*28/34-0*21/4,1.3475273724049457
1147450618,+20*24/26-12*12/25,1.3460722165782608
236950789,+2*31+18*23-12*25,1.3458067630095958
996366946,+12*20*25-12*12*25,1.3448305684693846
7567989,+0+11+15+20-12-17,1.3425446597745772
343754811,+9*15+24*31-3*4,1.3420039498692824
1544914972,+28*30*32*32/1/34,1.341949546170086
49686331,+4+7+20+24-12-19,1.3414329222941128
79980822,+7+20+20+24-12-16,1.3413407211768271
1422468282,-9*30/11-12*13/21,1.341147254547128
1537524211,+13*24*24*30/18/21,1.341126882829328
1537521158,+13*24*24*26/16/21,1.341126882829328
1195245059,+24*31/21-18*22/16,1.341095573521312
845020379,+7*17/33-24*29/1,1.3409359994660075
