id,CT,MinHar3
1585442296,-8*14*24*30*32/2,1.333035272924641
1576971675,-6*6*8*14*30*32,1.3119693377734691
575865982,+1*12/25-6*22/27,1.297645016767636
208752416,+1*24+4*11-16*17,1.2870610120918076
199186367,+1*11+1*24-17*18,1.2870610120918076
100297262,+10+20-3-12-28-31,1.2848665193342226
1517506745,+5*18*20*31*33*33,1.2809103481450304
17282617,+5*24*25*25*31,1.2809103481450304
17197086,+5*17*19*25*33,1.2809103481450304
1517960754,+5*24*25*30*31*33,1.2809103481450304
1517603261,+5*19*20*30*30*31,1.2809103481450304
1514808075,+5*6*17*19*25*26,1.2809103481450304
443545302,+24*31-4*22-9*13,1.2809103481450304
416638500,+17*30-8*18-9*25,1.2809103481450304
1517265167,+5*16*20*26*31*33,1.2809103481450304
568845158,+1*8/18-2*21/7,1.276117417523945
1526875501,+8*16*16*16*28/5,1.274072439851522
556082373,+1*1/10+9*25/8,1.2731902091758909
194310775,+1*4+11*32-10*19,1.273076563585895
194415493,+1*4+17*33-10*19,1.273076563585895
100258185,+10+20+32-3-12-27,1.272177599505807
1585261940,-8*13*24*30*32/18,1.2715367579788723
100301018,+10+20-4-9-12-31,1.2711119007740894
918396914,+9*24*31-6*9*9,1.2710706449235996
1517503149,+5*18*20*26*30*31,1.2708682530008415
1585312100,-8*14*14*24*32*33,1.270166184427832
100273872,+10+20+34-9-12-27,1.2689689635653385
387225238,+13*23+25*32-9*25,1.2683587786259545
446006750,+25*32+28*31-9*25,1.2683587786259545
100318269,+10+20-9-12-28-28,1.268144001481402
1583935415,-8*8*17*26*32/2,1.2677568952892362
326060417,+7*32+25*32-9*25,1.2677568952892362
100301677,+10+20-4-12-21-21,1.2674369121550797
560768977,+1*4*7+17*25*32,1.2668854835340408
1209902172,+26*31/10-3*23/34,1.2663042079886846
556090801,+1*1/10+22*33/8,1.2648030982210043
1532410336,+10*24*29*32*33/14,1.2643163389641698
1597048916,-14*17*24*32*33/16,1.2643052101518355
1601839654,-20*20*24*32*33/4,1.2643052101518355
599567796,+1*28/7+14*24/25,1.2642182815240055
16149500,+3*11*14*24/16,1.2635589998008294
512319570,+0*7/18+3*32/16,1.2635589998008294
414207166,+17*23+17*26-2*25,1.2635589998008294
369149840,+11*23+17*30-2*25,1.2635589998008294
446055231,+25*32-1*20-9*25,1.2630696468510052
1099904721,+17*21*23-11*26*34,1.2630070819945656
1596885343,-14*16*20*32*33/2,1.262152658503669
1517967409,+5*24*26*31*31*33,1.261099465474708
100267321,+10+20+33-9-12-21,1.2605204849709395
194407615,+1*4+17*23-10*16,1.2599775821801316
194311680,+1*4+11*33-10*18,1.2599775821801316
1159098322,+21*24/2-16*27/1,1.2591964062889942
1517264353,+5*16*20*25*31*31,1.259160387719043
1595776159,-13*17*25*32*33/28,1.259160387719043
566297491,+1*7*24+17*24*32,1.258734182776227
1517400663,+5*17*21*24*25*31,1.2580211050915353
208859948,+1*24+7*25-10*12,1.2578678334026137
443582893,+24*31-7*21-27*27,1.257251974869233
981685374,+11*29/33+19*26/16,1.257246627806862
443529542,+24*31-3*21-9*13,1.257246627806862
588557095,+1*20/25-0*1/33,1.2569169960474311
1497530280,+1*12*19*33/6/31,1.2569144391443556
618426833,+2*7/16+17*17/14,1.2563499608448865
329019923,+8*11+17*30-8*16,1.2561503797802782
7230602,+0+10+20-3-7-12,1.2558229105506415
17195918,+5*17*18*25*26,1.255695881037634
1181688529,+23*25/33-28*31/21,1.2554817298614471
208919842,+1*24+9*33-3*16,1.2550604400999033
1190202222,+24*25/12-23*24/26,1.2549666772903632
209191822,+1*24-0*21-17*18,1.2547706285126914
209188140,+1*24-0*15-16*17,1.2547706285126914
209214755,+1*24-1*27-17*19,1.2547706285126914
209184461,+1*24-0*9-17*19,1.2547706285126914
209205194,+1*24-1*10-3*25,1.2547706285126914
209213596,+1*24-1*25-16*17,1.2547706285126914
